Name,Vmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
Kepler-011e,13.86,0.0,0.2,907.8,0.90,425,0.03
Kepler-289d,14.11,0.0,0.2,1018.6,0.90,270,0.41
Kepler-138c,13.34,0.0,0.1,714.5,0.90,319,0.02
Kepler-296c,16.71,0.0,0.6,3372.9,0.90,366,-1.00
Kepler-026b,16.00,0.0,0.4,2432.2,0.90,309,0.02
Kepler-011b,13.86,0.0,0.2,907.8,0.90,621,0.01
Kepler-029c,15.46,0.0,0.3,1896.7,0.90,535,0.01
Kepler-011d,13.86,0.0,0.2,907.8,0.90,470,0.02
Kepler-079c,14.03,0.0,0.2,981.8,0.90,525,0.02
Kepler-036b,12.22,0.0,0.1,426.6,0.90,716,0.01
Kepler-032e,16.45,0.0,0.5,2992.3,0.90,562,-1.00
Kepler-051c,14.83,0.0,0.2,1419.1,0.90,294,0.01
K2-018b,13.50,0.0,0.1,769.1,0.90,194,0.03
K2-003c,12.17,0.0,0.1,416.9,0.90,255,0.01
Kepler-010c,11.10,0.0,0.0,254.7,0.90,387,0.02
Kepler-032c,16.45,0.0,0.4,2992.3,0.90,390,0.00
Kepler-020e,12.65,0.0,0.1,520.0,0.90,688,0.00
Kepler-101c,13.99,0.0,0.1,963.8,0.90,873,0.00
K2-056,11.04,0.0,0.0,247.7,0.90,365,0.05
Kepler-186c,15.23,0.0,0.2,1706.1,0.90,374,-1.00
Kepler-090b,13.89,0.0,0.1,920.5,0.90,751,0.00
Kepler-016,12.23,0.0,0.1,428.6,0.90,138,0.33
LHS_1140b,14.15,0.0,0.1,1037.5,0.90,157,0.02
KOI-3680,14.67,0.0,0.2,1318.3,0.90,252,1.93
Kepler-031c,15.35,0.0,0.2,1803.0,0.90,459,0.00
EPIC_246471491e,12.03,0.0,0.0,390.8,0.90,335,0.00
Kepler-062d,13.89,0.0,0.1,920.5,0.90,367,0.00
Kepler-431d,12.08,0.0,0.0,399.9,0.90,620,-1.00
Kepler-431b,12.08,0.0,0.0,399.9,0.90,747,-1.00
EPIC_211682544,11.61,0.0,0.0,322.1,0.90,315,0.05
Kepler-026c,16.00,0.0,0.3,2432.2,0.90,276,0.02
EPIC_248435473c,11.81,0.0,0.0,353.2,0.90,427,-1.00
K2-288,12.76,0.0,0.1,547.0,0.90,237,-1.00
Kepler-051d,14.83,0.0,0.1,1419.1,0.90,255,0.02
Kepler-138d,13.34,0.0,0.1,714.5,0.90,268,0.00
Kepler-430b,13.97,0.0,0.1,955.0,0.90,488,-1.00
Kepler-067,16.41,0.0,0.3,2937.7,0.90,443,-1.00
Kepler-066,15.66,0.0,0.2,2079.7,0.90,514,-1.00
KOI-415,14.27,0.0,0.1,1096.5,0.90,272,62.14
Kepler-030b,15.62,0.0,0.2,2041.8,0.90,402,0.03
Kepler-090c,13.89,0.0,0.1,920.5,0.90,684,0.00
Kepler-037c,10.03,0.0,0.0,155.6,0.90,414,0.00
Kepler-186d,15.23,0.0,0.1,1706.1,0.90,305,-1.00
KOI-1599.02,15.39,0.0,0.1,1836.6,0.90,583,0.03
Kepler-431c,12.08,0.0,0.0,399.9,0.90,684,-1.00
K2-003d,12.17,0.0,0.0,416.9,0.90,209,0.00
Kepler-090g,13.89,0.0,0.1,920.5,0.90,242,0.00
TRAPPIST-1d,18.80,0.0,0.5,8830.9,0.90,189,0.00
Kepler-090h,13.89,0.0,0.1,920.5,0.90,203,0.00
K2-155d,12.81,0.0,0.0,559.8,0.90,211,-1.00
Kepler-030d,15.62,0.0,0.1,2041.8,0.90,237,0.07
Kepler-296b,16.71,0.0,0.2,3372.9,0.90,297,-1.00
Kepler-138b,13.34,0.0,0.0,714.5,0.90,351,0.00
Kepler-020d,12.65,0.0,0.0,520.0,0.90,294,0.03
Kepler-032d,16.45,0.0,0.1,2992.3,0.90,282,-1.00
TRAPPIST-1e,18.80,0.0,0.4,8830.9,0.90,165,0.00
