Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-004		10.75		1910		11.0		1.34		1.25		2.86		1991
CoRoT-02		10.31		1552		11.0		1.74		3.57		3.77		1810
KELT-02		7.35		381		10.5		4.11		1.52		3.17		2038
HAT-P-07		9.33		932		10.3		2.21		1.87		3.04		2637
HAT-P-36		10.60		1631		10.1		1.33		1.85		3.34		2128
EPIC_229426032		10.22		1371		10.1		2.18		1.36		2.59		2262
HAT-P-41		9.73		1082		10.0		2.69		0.80		1.99		2304
KELT-18		9.21		848		9.9		2.87		1.18		2.52		2477
WASP-094		8.87		704		9.7		3.95		0.45		1.38		1921
WASP-054		9.04		767		9.7		3.69		0.64		1.80		2186
WASP-100		9.67		991		9.4		2.85		2.03		2.91		2618
HAT-P-30		9.15		778		9.4		2.81		0.71		2.33		1958
WASP-093		9.94		1111		9.3		2.73		1.47		2.70		2312
HATS-24		11.38		2162		9.3		1.35		2.44		3.35		2469
HAT-P-23		10.79		1599		9.1		1.21		2.07		3.58		2322
WASP-079		9.06		712		9.0		3.66		0.86		2.25		2042
WASP-097		9.03		702		8.9		2.07		1.32		3.29		1842
WASP-085		8.73		612		8.9		2.66		1.26		3.06		1597
HAT-P-13		8.97		653		8.6		2.92		0.91		2.36		2052
HD_149026		6.82		241		8.5		2.88		0.37		2.67		2107
HAT-P-49		9.35		763		8.4		2.69		1.73		3.11		2531
HAT-P-08		8.95		635		8.4		3.08		1.27		2.94		2061
XO-3		8.79		582		8.3		3.19		11.83		5.28		2057
WASP-017		10.22		1124		8.3		3.73		0.48		1.20		2086
Kepler-013		9.43		781		8.3		1.76		6.00		4.37		2595
HAT-P-56		9.83		927		8.2		2.79		2.18		3.27		2188
WASP-078		11.01		1558		8.0		2.17		0.86		1.66		2800
WASP-052		10.09		1014		7.9		1.75		0.43		1.97		1564
HATS-18		12.29		2761		7.8		0.84		1.98		3.36		2444
WASP-101		9.07		613		7.7		3.59		0.50		1.88		1848
HAT-P-22		7.84		346		7.6		3.21		2.15		3.87		1524
WASP-104		9.88		837		7.2		1.75		1.27		3.24		1796
WASP-050		9.97		870		7.2		1.96		1.44		3.36		1715
WASP-048		10.37		1043		7.2		2.14		0.91		2.49		2328
Qatar-1		10.41		1054		7.1		1.42		1.29		3.25		1653
WASP-036		11.29		1552		7.0		1.54		2.36		3.55		2062
HAT-P-33		10.00		863		7.0		3.48		0.76		1.94		2118
WASP-007		8.40		405		6.9		4.96		0.98		2.60		1820
WASP-001		10.28		969		6.9		2.52		0.85		2.31		2172
WASP-035		9.53		664		6.7		3.16		0.72		2.37		1750
WASP-005		10.60		1083		6.7		1.63		1.59		3.40		2085
CoRoT-01		12.15		2208		6.7		1.51		1.03		2.41		2279
55_Cnc_e		4.01		51		6.7		0.74		0.03		3.12		2329
XO-6		9.25		574		6.6		3.77		1.90		2.44		1876
WASP-127		8.64		434		6.6		4.18		0.18		0.91		1705
WASP-071		9.32		592		6.6		2.90		2.24		3.31		2479
WASP-064		10.96		1269		6.6		1.57		1.27		3.02		2012
WASP-123		9.36		592		6.5		2.98		0.90		2.60		1808
WASP-072		9.62		670		6.5		2.22		1.46		3.16		2620
WASP-024		10.15		858		6.5		2.34		1.11		2.83		2108
HATS-35		11.12		1335		6.5		1.82		1.22		2.69		2418
HAT-P-06		9.31		576		6.5		3.85		1.06		2.65		2027
TrES-2		9.85		728		6.4		2.47		1.21		3.09		1744
Qatar-2		10.62		1040		6.4		1.34		2.47		3.94		1529
KELT-15		9.85		728		6.4		3.33		1.20		2.60		1951
WASP-108		9.80		708		6.3		2.68		0.89		2.64		1904
WASP-013		9.12		516		6.3		4.35		0.51		1.74		1885
TrES-4		10.33		897		6.3		3.55		0.49		1.33		2151
WASP-075		10.06		782		6.2		2.48		1.07		2.85		2028
WASP-046		11.40		1445		6.2		1.43		1.91		3.58		1947
WASP-114		11.07		1227		6.1		1.55		1.77		3.24		2413
WASP-062		8.94		454		6.0		4.41		0.57		2.03		1698
HAT-P-16		9.55		597		6.0		2.78		4.19		4.34		1865
WASP-026		9.69		631		5.9		2.77		1.02		2.88		1963
HAT-P-02		7.60		239		5.9		5.63		8.74		5.08		1801
WASP-109		10.20		779		5.8		3.32		0.91		2.43		2016
HATS-52		12.11		1885		5.8		1.37		2.24		3.42		2231
WASP-015		9.69		602		5.7		3.75		0.59		2.05		2047
WASP-119		10.55		882		5.6		2.50		1.23		2.79		1863
HAT-P-45		10.20		754		5.6		3.13		0.89		2.43		1961
WASP-002		9.63		569		5.5		2.15		0.88		3.01		1530
HATS-02		11.39		1281		5.5		1.35		1.34		3.24		1873
KELT-10		9.34		479		5.3		4.17		0.68		2.20		1637
HATS-23		12.26		1833		5.3		2.16		1.47		2.40		1970
HAT-P-04		9.77		589		5.3		3.06		0.68		2.29		2072
WASP-049		9.75		564		5.2		2.78		0.40		1.97		1663
HAT-P-65		11.53		1282		5.2		2.60		0.53		1.34		2296
HAT-P-01		8.86		380		5.2		4.46		0.53		2.06		1575
WASP-120		9.88		597		5.1		3.61		4.85		4.06		2231
WASP-016		9.59		513		5.0		3.12		0.83		2.68		1653
WASP-092		11.52		1201		4.9		2.17		0.81		2.28		2236
WASP-031		10.65		809		4.9		3.41		0.48		1.64		1836
XO-4		9.41		449		4.8		4.12		1.61		3.18		1953
WASP-142		11.44		1145		4.8		2.05		0.84		2.23		2390
WASP-032		10.16		636		4.8		2.72		3.60		4.21		1857
XO-2		9.31		416		4.7		2.62		0.60		2.70		1607
WASP-081		10.89		860		4.7		2.72		0.73		2.23		1936
HATS-33		10.29		657		4.7		2.55		1.19		3.02		1700
TrES-5		11.59		1171		4.6		1.48		1.79		3.48		1767
HAT-P-14		8.85		336		4.6		4.63		2.27		3.68		1932
WASP-090		10.25		618		4.5		3.92		0.63		1.82		2192
WASP-065		10.35		652		4.5		2.31		1.55		3.48		1766
WASP-136		8.81		310		4.4		5.21		1.51		3.02		2073
WASP-118		9.79		493		4.4		4.05		0.52		1.94		2086
WASP-131		8.57		273		4.3		5.32		0.27		1.55		1713
WASP-041		9.68		457		4.3		3.05		0.98		2.90		1479
WASP-034		8.79		304		4.3		4.32		0.59		2.33		1378
HAT-P-47		9.40		401		4.3		4.73		0.21		1.13		1908
HAT-P-40		10.01		536		4.3		4.46		0.61		1.67		2101
HAT-P-05		10.48		637		4.2		2.79		1.06		2.86		1805
WTS-2		13.41		2449		4.1		1.02		1.12		2.75		1826
WASP-069		7.46		155		4.1		3.87		0.26		1.80		1143
WASP-063		9.39		377		4.1		4.38		0.38		1.57		1876
K2-034		10.19		552		4.1		3.00		1.65		3.36		1988
Kepler-017		12.59		1519		3.8		1.49		2.34		3.57		2037
WASP-088		10.32		529		3.7		4.95		0.56		1.61		2097
HATS-03		10.69		619		3.7		3.55		1.07		2.68		1960
XO-1		9.53		352		3.6		3.94		0.92		2.80		1440
WASP-073		9.03		286		3.6		4.09		1.88		3.59		2119
HAT-P-50		10.50		557		3.6		3.12		1.35		3.05		2205
CoRoT-11		11.25		785		3.6		2.99		2.34		3.40		2033
WASP-070		9.58		352		3.5		3.71		0.59		2.42		1636
WASP-068		8.95		265		3.5		5.08		0.95		2.77		1769
HATS-26		11.44		843		3.5		3.30		0.65		1.71		2286
HATS-01		10.58		562		3.5		3.45		1.85		3.35		1628
HAT-P-24		10.54		556		3.5		3.35		0.68		2.44		1930
WASP-099		8.09		172		3.4		5.75		2.78		4.09		1748
WASP-066		10.45		514		3.4		4.09		2.32		3.44		2143
HATS-34		12.10		1098		3.4		2.11		0.94		2.48		1717
HAT-P-53		12.10		1094		3.4		1.96		1.48		3.10		2113
HAT-P-39		11.16		706		3.4		3.54		0.60		1.84		2055
HAT-P-20		8.60		221		3.4		2.88		7.22		5.18		1147
WASP-153		11.05		660		3.3		3.33		0.39		1.44		2036
WASP-133		11.18		698		3.3		2.18		1.16		3.02		2112
WASP-020		9.39		305		3.3		4.90		0.38		1.79		1501
Qatar-4		11.52		822		3.3		1.80		6.10		4.81		1647
WASP-028		10.73		543		3.2		3.41		0.89		2.74		1727
WASP-102		11.11		643		3.1		2.71		0.62		2.32		1963
WASP-038		8.00		149		3.1		6.87		2.69		4.07		1484
WASP-022		10.32		439		3.1		3.53		0.62		2.41		1788
WASP-006		10.32		441		3.1		3.36		0.48		2.12		1408
TrES-1		9.82		354		3.1		3.03		0.76		2.79		1365
K2-029		10.06		390		3.1		3.26		0.73		2.59		1388
HATS-51		10.87		574		3.1		3.35		0.77		2.30		1840
WASP-025		10.17		394		3.0		3.77		0.60		2.30		1441
WASP-021		9.98		362		3.0		4.32		0.28		1.67		1621
HATS-31		11.57		752		3.0		3.38		0.88		2.14		2170
HATS-09		11.48		720		3.0		1.92		0.82		2.73		2161
HAT-P-66		11.68		806		3.0		2.97		0.78		2.08		2260
HAT-P-46		9.93		358		3.0		4.46		0.49		2.05		1727
HAT-P-03		9.45		281		3.0		2.90		0.58		2.83		1415
WASP-126		9.60		291		2.9		3.29		0.28		2.06		1769
WASP-091		9.71		309		2.9		2.80		1.34		3.49		1360
HAT-P-34		9.25		255		2.9		5.45		3.33		4.10		1759
HATS-30		10.79		492		2.8		3.17		0.71		2.59		1683
WASP-113		10.31		378		2.7		4.54		0.47		1.83		1766
WASP-055		10.40		399		2.7		4.47		0.63		2.21		1547
K2-107		11.21		583		2.7		3.31		0.84		2.35		2106
HAT-P-09		11.02		533		2.7		3.92		0.78		2.36		1832
WASP-058		10.29		371		2.6		5.02		0.89		2.51		1519
Qatar-6		9.23		226		2.6		3.51		0.67		2.73		1197
Qatar-3		11.22		557		2.6		2.51		4.31		4.53		1999
HAT-P-35		11.03		518		2.6		3.65		1.05		2.73		1902
WASP-039		10.20		339		2.5		4.05		0.28		1.50		1344
OGLE-TR-L9		13.12		1306		2.5		2.49		4.40		3.76		2420
HAT-P-27		10.11		328		2.5		3.04		0.66		2.77		1439
WASP-138		10.49		370		2.4		3.63		1.22		3.28		1896
WASP-124		11.31		536		2.4		3.37		0.60		2.31		1654
Qatar-5		10.96		449		2.4		2.88		4.32		4.52		1683
HATS-12		11.39		534		2.3		3.14		2.39		3.48		2495
HAT-P-28		11.10		473		2.3		3.26		0.63		2.40		1642
WASP-141		11.19		461		2.2		3.31		2.69		3.86		1875
WASP-098		11.28		477		2.2		2.96		0.92		2.91		1393
WASP-080		8.35		124		2.2		3.07		0.56		2.71		982
WASP-037		11.09		454		2.2		3.58		1.80		3.55		1616
WASP-023		10.45		328		2.2		2.94		0.92		3.04		1344
HATS-21		10.53		345		2.2		3.55		0.33		1.92		1526
WASP-110		10.70		359		2.1		3.78		0.51		2.16		1360
WASP-096		10.91		387		2.1		3.43		0.48		2.16		1519
WASP-061		11.01		412		2.1		3.86		2.06		3.58		1852
WASP-057		11.24		453		2.1		2.84		0.64		2.72		1593
Kepler-041		12.89		998		2.1		1.86		0.56		2.17		2127
HATS-19		11.51		521		2.1		4.57		0.43		1.39		1843
HATS-16		12.28		737		2.1		2.69		3.27		3.92		1892
HATS-11		12.24		713		2.1		3.62		0.83		2.28		1944
HAT-P-48		10.26		292		2.1		4.41		0.17		1.23		1619
HAT-P-31		10.08		268		2.1		5.00		2.17		3.90		1730
CoRoT-18		13.01		1053		2.1		1.90		3.27		3.99		1774
WASP-047b		10.19		273		2.0		4.16		1.14		3.16		1508
WASP-044		11.34		451		2.0		2.42		0.87		3.11		1552
OGLE-TR-113		13.00		954		2.0		1.43		1.23		3.29		1598
Kepler-012		12.07		638		2.0		4.44		0.43		1.34		1767
KELT-06		9.08		160		2.0		7.85		0.43		2.06		1561
HATS-15		12.72		865		2.0		1.75		2.17		3.83		1776
HAT-P-37		11.67		532		2.0		2.80		1.17		3.08		1517
WASP-112		11.90		574		1.9		3.04		0.88		2.78		1648
WASP-045		10.29		264		1.9		3.13		1.00		3.27		1392
HATS-27		11.55		474		1.9		4.64		0.53		1.81		1971
HAT-P-42		10.63		309		1.9		4.64		1.04		2.81		1699
HAT-P-25		10.81		347		1.9		3.65		0.57		2.34		1431
HAT-P-21		10.11		245		1.9		4.12		4.06		4.61		1516
WASP-011		9.42		168		1.8		3.72		0.49		2.57		1181
WASP-010		9.98		220		1.8		3.09		3.14		4.32		1150
Kepler-007		11.54		446		1.8		4.88		0.45		1.46		1927
K2-141b		8.40		104		1.8		0.28		0.02		3.13		2573
HAT-P-43		11.76		499		1.8		3.33		0.66		2.35		1616
XO-5		10.35		249		1.7		4.19		1.19		3.16		1442
WASP-053		10.39		252		1.7		3.31		2.13		3.87		1252
Kepler-008		12.29		585		1.7		3.52		0.59		2.08		1978
HATS-04		11.61		425		1.7		2.52		1.32		3.50		1567
WASP-067		10.13		203		1.6		4.61		0.41		2.18		1244
WASP-030		10.20		219		1.6		4.16		62.50		7.49		1779
Kepler-006		11.63		416		1.6		3.23		0.63		2.49		1726
Kepler-005		11.77		437		1.6		3.55		2.03		3.59		2014
HATS-29		10.88		299		1.6		4.61		0.65		2.38		1440
HATS-13		11.98		490		1.6		3.04		0.54		2.26		1481
HAT-P-55		11.63		416		1.6		3.58		0.58		2.38		1561
WASP-157		10.76		258		1.5		3.95		0.57		2.57		1551
K2-030		11.09		310		1.5		4.10		0.62		2.43		1391
HATS-53		12.05		469		1.5		3.85		0.59		2.15		1558
HATS-25		11.42		358		1.5		4.30		0.61		2.30		1518
EPIC_246067459		12.03		467		1.5		3.21		0.86		2.58		1898
WASP-151		11.19		301		1.4		4.53		0.36		1.89		1560
WASP-056		10.53		224		1.4		4.17		0.57		2.52		1450
Kepler-423		12.78		639		1.4		2.68		0.59		2.39		1642
HATS-45		12.14		444		1.4		4.19		0.70		2.40		1807
HATS-32		12.70		591		1.4		2.81		0.92		2.73		1707
HATS-28		12.09		456		1.4		3.18		0.67		2.50		1490
HAT-P-29		10.30		190		1.4		5.72		0.78		2.80		1496
WASP-042		10.03		165		1.3		4.98		0.53		2.38		1216
WASP-029		8.78		93		1.3		3.92		0.24		2.35		1176
HAT-P-52		11.62		342		1.3		2.75		0.82		3.04		1447
HAT-P-51		11.61		337		1.3		4.22		0.31		1.57		1416
HAT-P-19		10.55		207		1.3		4.01		0.29		1.78		1201
HAT-P-12		10.11		165		1.3		3.21		0.21		1.83		1142
CoRoT-19		11.84		375		1.3		3.90		1.09		2.99		1938
WASP-089		11.00		227		1.2		3.36		5.90		4.95		1290
HATS-14		12.04		383		1.2		2.77		1.07		3.25		1516
HATS-10		11.51		306		1.2		3.31		0.53		2.68		1673
HAT-P-44		11.28		271		1.2		4.30		0.35		1.78		1314
CoRoT-14		13.81		867		1.2		1.51		7.67		5.26		2304
WASP-060		10.59		172		1.1		4.30		0.51		2.89		1568
Kepler-043		12.55		441		1.1		3.02		3.09		4.17		1906
K2-096b		7.07		33		1.1		0.96		0.02		2.88		2077
HATS-44		12.17		376		1.1		2.74		0.56		2.55		1404
CoRoT-12		13.56		713		1.1		2.83		0.89		2.54		1677
WASP-083		10.39		153		1.0		4.97		0.30		1.97		1326
HATS-50		12.29		343		1.0		3.82		0.39		2.07		1616
CoRoT-23		12.36		379		1.0		3.63		3.06		4.04		2036
CoRoT-05		12.55		398		1.0		4.04		0.47		2.16		1604
CoRoT-03		11.62		265		1.0		4.26		21.96		6.27		1963
WASP-117		8.78		64		0.9		10.02		0.28		1.92		1218
WASP-086		9.36		79		0.9		5.03		0.82		3.98		1647
Kepler-014		10.99		167		0.9		6.79		7.68		5.06		1910
HATS-36		12.81		387		0.9		4.17		2.79		3.81		1621
EPIC_228735255		11.00		182		0.9		6.57		1.02		3.09		1325
EPIC_219388192		10.73		149		0.9		5.29		36.84		6.99		1385
WASP-129		10.41		123		0.8		5.75		1.00		3.40		1281
OGLE-TR-211		13.38		457		0.8		3.68		0.75		2.50		2005
OGLE-TR-132		14.99		1038		0.8		1.69		1.17		3.00		2368
Kepler-435		12.29		299		0.8		8.60		0.84		1.71		2033
Kepler-426		13.21		422		0.8		3.22		0.34		2.00		1548
Kepler-044		12.88		378		0.8		3.25		1.00		3.08		1830
Kepler-015		12.22		277		0.8		4.94		0.70		2.39		1488
HD_219134b		3.26		4		0.8		3.09		0.01		2.94		1207
HATS-43		11.56		205		0.8		4.39		0.26		1.58		1185
WASP-106		10.16		86		0.7		9.29		1.93		3.75		1341
NGTS-1		11.94		204		0.7		2.65		0.81		2.48		942
Kepler-433		12.83		333		0.7		5.33		2.82		3.55		2098
Kepler-077		12.36		250		0.7		3.58		0.43		2.49		1485
K2-060		10.99		128		0.7		3.00		0.43		3.16		1574
HD_017156		6.76		17		0.7		21.22		3.26		4.31		1051
HATS-05		10.70		116		0.7		4.76		0.24		2.00		1220
HAT-P-38		10.50		111		0.7		4.64		0.27		2.32		1284
CoRoT-17		12.47		267		0.7		3.77		2.46		4.14		1911
CoRoT-15		13.39		395		0.7		3.06		64.90		7.34		1985
CoRoT-13		13.38		407		0.7		4.04		1.31		3.08		1704
HAT-P-54		10.33		89		0.6		3.80		0.76		3.10		975
CoRoT-27		12.98		295		0.6		3.58		10.39		5.58		1612
CoRoT-26		13.26		331		0.6		4.21		0.52		2.14		1870
WTS-1		15.27		763		0.5		3.35		4.01		3.85		1773
WASP-107		8.64		34		0.5		5.72		0.12		1.29		876
WASP-084		8.86		37		0.5		8.52		0.69		2.93		953
OGLE-TR-182		14.74		529		0.5		3.98		1.06		2.54		1842
Kepler-428		13.23		254		0.5		3.53		1.27		3.34		1270
Kepler-040		13.27		253		0.5		6.87		2.16		3.30		2076
K2-113		11.95		142		0.5		5.82		1.29		3.66		1377
K2-039		8.52		33		0.5		4.61		0.12		2.53		2013
HATS-20		11.86		138		0.5		3.80		0.27		2.46		1363
HATS-08		12.66		210		0.5		3.58		0.14		1.55		1571
HAT-P-26		9.58		47		0.5		4.24		0.06		1.57		1166
HAT-P-18		10.23		65		0.5		5.51		0.20		1.73		1000
GJ_9827b		7.19		17		0.5		1.21		0.03		3.31		1383
CoRoT-25		12.85		242		0.5		4.86		0.37		2.11		1572
WASP-156		9.34		40		0.4		3.84		0.13		2.55		1154
WASP-139		10.47		56		0.4		5.92		0.12		1.56		1092
Kepler-425		12.81		184		0.4		3.80		0.25		1.91		1277
HATS-46		11.97		131		0.4		4.74		0.17		1.71		1256
HATS-22		10.94		83		0.4		4.72		2.74		4.36		1020
HATS-07		10.98		76		0.4		3.19		0.12		2.28		1289
HAT-P-17		8.54		28		0.4		10.34		0.53		2.61		927
HAT-P-15		9.64		44		0.4		10.86		1.95		3.78		1069
HAT-P-11		7.01		12		0.4		4.89		0.08		2.63		997
WASP-132		9.67		26		0.3		7.13		0.41		2.64		905
WASP-105		9.94		41		0.3		7.87		1.80		3.93		1007
Kepler-045		12.89		131		0.3		2.46		0.50		2.56		936
Kepler-010b		9.50		28		0.3		0.84		0.01		2.87		2603
K2-106b		10.34		42		0.3		0.57		0.02		3.52		2652
HATS-06		11.22		62		0.3		3.33		0.32		2.12		858
GJ_0436		6.07		5		0.3		2.64		0.08		2.74		753
CoRoT-07		9.81		32		0.3		0.85		0.02		3.16		2094
CoRoT-06		12.12		108		0.3		8.89		2.96		4.00		1220
CoRoT-04		12.29		99		0.3		9.20		0.73		2.65		1260
WASP-130		9.46		23		0.2		11.55		1.23		3.70		989
OGLE-TR-111		14.14		171		0.2		4.01		0.55		2.64		1213
Kepler-427		12.78		98		0.2		10.29		0.29		1.60		1281
Kepler-101b		12.01		70		0.2		3.49		0.16		2.76		1865
Kepler-074		12.96		90		0.2		7.34		0.63		2.88		1303
Kepler-021		6.95		7		0.2		2.79		0.02		2.97		2409
Kepler-004		10.80		42		0.2		3.21		0.07		2.66		1929
K2-108		10.56		37		0.2		4.73		0.19		3.08		1735
CoRoT-20		12.51		96		0.2		9.24		5.06		4.58		1307
CoRoT-08		11.46		39		0.2		6.21		0.22		2.40		1097
WASP-059		9.72		11		0.1		7.92		0.86		3.62		791
Kepler-434		13.04		50		0.1		12.88		2.86		4.06		1190
Kepler-093b		8.37		3		0.1		4.73		0.01		2.93		1348
Kepler-089d		10.93		16		0.1		22.34		0.33		2.15		1065
Kepler-089c		10.93		9		0.1		10.42		0.05		2.15		1373
Kepler-075		13.12		41		0.1		8.88		10.10		5.47		984
Kepler-068b		8.59		6		0.1		5.40		0.02		2.45		1491
K2-098		10.87		10		0.1		10.14		0.10		2.90		1309
K2-066		10.60		9		0.1		5.07		0.07		3.56		1784
K2-032b		9.82		8		0.1		8.99		0.05		1.86		981
K2-027b		10.70		11		0.1		6.77		0.10		2.76		1094
HD_219134c		3.26		0		0.1		6.76		0.01		2.97		930
HD_106315c		7.85		2		0.1		21.06		0.05		2.11		1039
HD_106315b		7.85		3		0.1		9.55		0.04		3.08		1352
HD_097658		5.73		1		0.1		9.49		0.02		2.73		902
HATS-17		10.70		11		0.1		16.25		1.34		4.05		968
GJ_3470		7.99		4		0.1		3.34		0.04		2.24		769
GJ_1214		8.78		6		0.1		1.58		0.02		2.07		679
GJ_1132		8.32		5		0.1		1.63		0.01		1.43		765
CoRoT-32		12.19		31		0.1		6.72		0.15		2.48		1142
TRAPPIST-1h		10.30		0		0.0		18.77		0.00		0.48		202
TRAPPIST-1g		10.30		0		0.0		12.36		0.00		1.48		232
TRAPPIST-1f		10.30		0		0.0		9.21		0.00		1.17		256
TRAPPIST-1e		10.30		0		0.0		6.10		0.00		1.14		293
TRAPPIST-1d		10.30		0		0.0		4.05		0.00		1.66		336
TRAPPIST-1c		10.30		0		0.0		2.42		0.01		2.62		399
TRAPPIST-1b		10.30		0		0.0		1.51		0.00		1.86		467
LHS_6343		8.70		0		0.0		12.71		62.10		7.87		426
LHS_1140		8.82		0		0.0		24.74		0.02		3.50		262
KOI-205		12.66		14		0.0		11.72		40.80		7.36		909
Kepler-539		10.91		0		0.0		125.63		0.97		3.81		461
Kepler-432		10.12		4		0.0		50.50		5.41		4.67		1057
Kepler-420		12.73		0		0.0		86.65		1.45		3.75		545
Kepler-117c		13.01		3		0.0		50.79		1.84		3.67		844
Kepler-117b		13.01		13		0.0		18.80		0.09		1.55		1176
Kepler-089e		10.93		0		0.0		54.32		0.11		2.12		792
Kepler-089b		10.93		6		0.0		3.74		0.03		3.60		1932
Kepler-087c		12.98		0		0.0		191.23		0.02		0.55		527
Kepler-087b		12.98		0		0.0		114.74		1.02		2.91		625
Kepler-080c		12.25		0		0.0		9.52		0.02		2.22		762
Kepler-080b		12.25		1		0.0		7.05		0.02		2.30		842
Kepler-051d		13.20		0		0.0		130.18		0.02		-0.19		454
Kepler-051c		13.20		0		0.0		85.31		0.01		-0.67		523
Kepler-051b		13.20		0		0.0		45.16		0.01		-0.85		646
Kepler-046b		13.35		0		0.0		33.60		0.89		3.55		645
Kepler-039		12.92		20		0.0		21.09		19.10		6.00		1012
Kepler-036c		10.79		3		0.0		16.24		0.02		1.78		1207
Kepler-036b		10.79		0		0.0		13.84		0.01		2.99		1273
Kepler-022		10.15		0		0.0		289.86		0.02		2.52		340
Kepler-020d		10.87		0		0.0		77.61		0.03		2.63		523
Kepler-020c		10.87		2		0.0		10.85		0.04		2.64		1005
Kepler-020b		10.87		6		0.0		3.70		0.03		3.35		1438
Kepler-016		9.00		0		0.0		221.78		0.33		2.72		245
Kepler-010c		9.50		0		0.0		45.29		0.02		2.62		688
K2-111		9.38		4		0.0		5.35		0.03		3.19		1463
K2-110		9.61		0		0.0		13.86		0.05		3.24		759
K2-106c		10.34		1		0.0		13.34		0.02		2.34		939
K2-096c		7.07		0		0.0		29.84		0.03		2.40		660
K2-056		9.37		0		0.0		41.69		0.05		3.51		649
K2-038c		9.47		2		0.0		10.56		0.03		2.85		1115
K2-038b		9.47		4		0.0		4.02		0.04		3.95		1540
K2-032d		9.82		0		0.0		31.72		0.03		2.18		645
K2-024c		9.18		0		0.0		42.36		0.08		1.47		729
K2-024b		9.18		2		0.0		20.89		0.06		1.83		923
K2-018b		8.90		0		0.0		32.94		0.03		2.75		336
HD_080606		7.32		0		0.0		111.44		4.11		4.66		482
GJ_9827d		7.19		0		0.0		6.20		0.01		2.18		798
GJ_9827c		7.19		1		0.0		3.65		0.01		2.64		954
EPIC_218916923		9.66		0		0.0		28.38		0.38		2.71		661
EPIC_211442297		11.72		9		0.0		20.27		0.84		2.87		807
EPIC_211418729		12.30		15		0.0		11.39		1.85		3.99		858
CoRoT-24c		12.92		2		0.0		11.76		0.09		2.47		841
CoRoT-10		11.78		7		0.0		13.24		2.78		4.40		771
CoRoT-09		11.69		0		0.0		95.27		0.84		2.95		497
