System,SNR,Eclipse Depth,Kmag,Teq,Period,Planet Mass
-,-,ppm,-,K,d,Mjup
K2-136d,nan,nan,8.37,nan,25.57,-1.00
Kepler-106b,nan,nan,11.43,nan,6.17,0.00
Kepler-223b,nan,nan,13.63,nan,7.38,0.02
Kepler-106e,nan,nan,11.43,nan,43.84,0.04
Kepler-108b,nan,nan,10.98,nan,49.18,0.44
Kepler-108c,nan,nan,10.98,nan,190.32,0.17
Kepler-109b,nan,nan,11.00,nan,6.48,0.00
Kepler-109c,nan,nan,11.00,nan,21.22,0.00
AD_3116,nan,nan,13.50,nan,1.98,54.20
Kepler-138c,nan,nan,9.51,nan,13.78,0.01
Kepler-113b,nan,nan,11.26,nan,4.75,0.04
Kepler-150e,nan,nan,13.36,nan,30.83,-1.00
EPIC_211916756,nan,nan,12.47,nan,10.13,-1.00
Kepler-150c,nan,nan,13.36,nan,7.38,-1.00
Kepler-150b,nan,nan,13.36,nan,3.43,-1.00
Kepler-138d,nan,nan,9.51,nan,23.09,0.00
EPIC_228732031,nan,nan,10.05,nan,0.37,0.02
EPIC_201295312,nan,nan,10.69,nan,5.66,0.00
Kepler-106d,nan,nan,11.43,nan,23.98,0.00
Kepler-150d,nan,nan,13.36,nan,12.56,-1.00
EPIC_210363145,nan,nan,9.80,nan,8.20,0.00
Kepler-138b,nan,nan,9.51,nan,10.31,0.00
Kepler-106c,nan,nan,11.43,nan,13.57,0.03
Kepler-223d,nan,nan,13.63,nan,14.79,0.03
Kepler-223c,nan,nan,13.63,nan,9.85,0.02
Kepler-223e,nan,nan,13.63,nan,19.72,0.02
Kepler-131c,nan,nan,10.08,nan,25.52,0.00
Kepler-167b,inf,inf,11.83,inf,4.39,-1.00
Kepler-167c,inf,inf,11.83,inf,7.41,-1.00
Kepler-167d,inf,inf,11.83,inf,21.80,-1.00
NLTT_41135,15098.1,8712,-1.00,548.5,2.89,33.70
OGLE-TR-056,5677.6,4187,-1.00,2953.3,1.21,1.41
WASP-173,4914.5,3557,-1.00,2187.2,1.39,3.69
WASP-145,4850.8,3353,-1.00,1434.5,1.77,0.89
WASP-168,4409.1,3235,-1.00,1598.7,4.15,0.42
OGLE-TR-010,4401.1,3240,-1.00,2021.5,3.10,0.68
WASP-144,3013.3,2090,-1.00,1437.4,2.28,0.44
K2-140,2420.5,1748,-1.00,1325.3,6.57,1.02
WASP-174,2253.2,1680,-1.00,1776.6,4.23,0.00
WASP-172,2027.6,1539,-1.00,2076.2,5.48,0.47
WASP-158,1734.9,1291,-1.00,1888.5,3.66,2.79
WASP-159,1638.8,1203,-1.00,2155.2,3.84,0.55
WASP-162,1223.8,867,-1.00,1085.2,9.62,5.20
EPIC_247098361,1152.1,840,-1.00,1189.4,11.17,0.41
K2-139,456.9,325,-1.00,672.1,28.38,0.39
HD_189733,299.0,4242,5.54,1417.0,2.22,1.15
EPIC_248777106,250.4,180,-1.00,1257.4,11.81,0.10
HD_209458,132.3,2827,6.31,1735.9,3.52,0.71
WASP-033,124.2,4733,7.47,3252.9,1.22,2.16
WASP-043,88.5,6732,9.27,1714.0,0.81,2.03
K2-133b,86.9,53,-1.00,791.2,3.07,-1.00
WASP-077,81.9,4473,8.40,2027.9,1.36,1.76
KELT-20,80.5,3090,7.42,2687.2,3.47,0.00
K2-133c,76.0,47,-1.00,677.5,4.87,-1.00
WASP-076,74.2,3875,8.24,2595.5,1.81,0.92
WASP-140,72.8,5579,9.17,1577.7,2.24,2.44
WASP-018,70.9,3540,8.13,2868.6,0.94,10.52
KELT-09,69.3,2800,7.48,4818.1,1.48,2.88
EPIC_249622103b,68.7,48,-1.00,1345.5,2.47,-1.00
WASP-121,68.2,6048,9.37,2805.0,1.27,1.18
WASP-069,68.2,2288,7.46,1142.7,3.87,0.26
WASP-080,67.4,3246,8.35,981.5,3.07,0.56
K2-133d,65.8,40,-1.00,517.9,11.02,-1.00
KELT-07,58.9,2273,7.54,2438.9,2.73,1.28
HAT-P-20,56.5,3178,8.60,1146.5,2.88,7.22
WASP-074,54.1,2769,8.22,2287.3,2.14,0.95
WASP-085,52.7,3367,8.73,1596.6,2.66,1.26
K2-031,51.7,3472,8.87,2078.1,1.26,1.86
