Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-044		12.88		0		0.0		2.42		0.87		3.07		1552
WASP-043		12.37		2		0.0		0.81		2.03		3.85		1714
WASP-042		12.57		0		0.0		4.98		0.53		2.34		1215
WASP-041		11.64		0		0.0		3.05		0.98		2.86		1478
WASP-039		12.10		0		0.0		4.05		0.28		1.45		1387
WASP-038		9.45		0		0.0		6.87		2.69		4.02		1484
WASP-037		12.72		0		0.0		3.58		1.80		3.50		1615
WASP-036		12.70		5		0.0		1.54		2.36		3.50		2062
WASP-035		10.95		0		0.0		3.16		0.72		2.33		1750
WASP-034		10.37		0		0.0		4.32		0.59		2.28		1378
WASP-032		11.56		0		0.0		2.72		3.60		4.16		1857
WASP-031		11.94		0		0.0		3.41		0.48		1.60		1836
WASP-030		11.46		0		0.0		4.16		62.50		7.45		1778
WASP-029		11.21		0		0.0		3.92		0.24		2.31		1176
WASP-028		12.15		0		0.0		3.41		0.89		2.70		1727
WASP-026		11.10		1		0.0		2.77		1.02		2.84		1963
WASP-025		11.85		0		0.0		3.77		0.60		2.25		1440
WASP-024		11.23		3		0.0		2.34		1.11		2.78		2108
WASP-023		12.68		0		0.0		2.94		0.92		2.99		1344
WASP-022		11.71		0		0.0		3.53		0.62		2.36		1787
WASP-021		11.59		0		0.0		4.32		0.28		1.62		1621
WASP-020		10.68		0		0.0		4.90		0.38		1.74		1501
WASP-017		11.50		3		0.0		3.73		0.48		1.15		2085
WASP-016		11.31		0		0.0		3.12		0.83		2.63		1652
WASP-015		10.92		1		0.0		3.75		0.59		2.00		2046
WASP-014		9.75		4		0.0		2.24		7.59		4.81		2212
WASP-013		10.51		0		0.0		4.35		0.51		1.69		1884
WASP-011		11.89		0		0.0		3.72		0.49		2.52		1180
WASP-010		12.39		0		0.0		3.09		3.14		4.28		1150
WASP-008		9.77		0		0.0		8.16		2.25		3.95		1103
WASP-007		9.48		0		0.0		4.96		0.98		2.55		1820
WASP-006		12.16		0		0.0		3.36		0.48		2.07		1408
WASP-005		12.14		4		0.0		1.63		1.59		3.35		2085
WASP-004		12.46		6		0.0		1.34		1.25		2.81		1991
WASP-003		10.64		12		0.0		1.85		1.77		3.19		2372
WASP-002		11.98		0		0.0		2.15		0.88		2.96		1530
WASP-001		11.31		5		0.0		2.52		0.85		2.26		2172
TrES-5		13.72		1		0.0		1.48		1.79		3.44		1766
TrES-4		11.59		4		0.0		3.55		0.49		1.29		2150
TrES-3		12.50		4		0.0		1.31		1.90		3.31		1949
TrES-2		11.41		0		0.0		2.47		1.21		3.04		1744
TrES-1		11.79		0		0.0		3.03		0.76		2.75		1364
TRAPPIST-1h		18.80		0		0.0		18.77		0.00		1.65		202
TRAPPIST-1g		18.80		0		0.0		12.36		0.00		2.14		232
TRAPPIST-1f		18.80		0		0.0		9.21		0.00		2.11		256
TRAPPIST-1e		18.80		0		0.0		6.10		0.00		2.20		293
TRAPPIST-1d		18.80		0		0.0		4.05		0.00		1.52		336
TRAPPIST-1c		18.80		0		0.0		2.42		0.00		2.24		399
TRAPPIST-1b		18.80		0		0.0		1.51		0.00		2.07		467
Qatar-6		11.44		0		0.0		3.51		0.67		2.69		1197
Qatar-5		12.82		0		0.0		2.88		4.32		4.47		1682
Qatar-4		13.60		0		0.0		1.80		6.10		4.77		1647
Qatar-3		12.88		1		0.0		2.51		4.31		4.49		1998
Qatar-2		13.49		0		0.0		1.34		2.47		3.90		1528
Qatar-1		12.84		0		0.0		1.42		1.29		3.20		1652
POTS-1		17.94		0		0.0		3.16		2.31		4.17		1001
OGLE-TR-L9		14.50		11		0.0		2.49		4.40		3.71		2420
OGLE-TR-211		15.00		1		0.0		3.68		0.75		2.46		2005
OGLE-TR-182		16.84		0		0.0		3.98		1.06		2.50		1842
OGLE-TR-132		16.00		10		0.0		1.69		1.17		2.95		2368
OGLE-TR-113		15.00		0		0.0		1.43		1.23		3.25		1597
OGLE-TR-111		16.00		0		0.0		4.01		0.55		2.59		1213
OGLE-TR-056		16.60		109		0.0		1.21		1.41		2.45		2953
OGLE-TR-010		15.80		2		0.0		3.10		0.68		1.74		2021
NLTT_41135		16.50		0		0.0		2.89		33.70		6.73		548
NGTS-3		14.64		8		0.0		1.68		2.38		3.29		2029
NGTS-2		10.96		0		0.0		4.51		0.74		1.98		1931
NGTS-1		15.52		0		0.0		2.65		0.81		2.43		941
LHS_6343		13.44		0		0.0		12.71		62.10		7.83		426
LHS_1140		14.15		0		0.0		24.74		0.02		3.45		262
KPS-1		13.03		0		0.0		1.71		1.09		3.24		1720
KOI-415		14.27		0		0.0		166.79		62.14		7.81		484
KOI-205		14.76		0		0.0		11.72		40.80		7.32		909
Kepler-1655		11.05		0		0.0		11.87		0.02		2.32		1115
Kepler-1647		13.70		0		0.0		1107.59		1.52		3.51		289
Kepler-693		16.71		0		0.0		15.38		0.90		3.29		764
Kepler-539		12.53		0		0.0		125.63		0.97		3.76		461
Kepler-503		14.94		0		0.0		7.26		78.60		7.66		1540
Kepler-454		11.59		0		0.0		10.57		0.02		2.48		1090
Kepler-448		11.38		0		0.0		17.86		1.10		2.58		1285
Kepler-447		12.56		0		0.0		7.79		1.37		2.52		1247
Kepler-435		13.77		0		0.0		8.60		0.84		1.66		2032
Kepler-434		14.65		0		0.0		12.88		2.86		4.02		1190
Kepler-433		14.62		1		0.0		5.33		2.82		3.50		2097
Kepler-432		12.44		0		0.0		50.50		5.41		4.63		1057
Kepler-428		15.47		0		0.0		3.53		1.27		3.30		1269
Kepler-427		14.31		0		0.0		10.29		0.29		1.56		1281
Kepler-426		14.99		0		0.0		3.22		0.34		1.96		1548
Kepler-425		14.95		0		0.0		3.80		0.25		1.87		1276
Kepler-424		14.45		0		0.0		3.31		1.03		3.47		1447
Kepler-423		14.42		0		0.0		2.68		0.59		2.34		1641
Kepler-422		13.55		0		0.0		7.89		0.43		2.09		1332
Kepler-420		14.88		0		0.0		86.65		1.45		3.71		544
Kepler-419		13.08		0		0.0		69.80		2.77		4.00		811
Kepler-413		15.83		0		0.0		66.25		0.21		3.59		398
Kepler-412		14.43		7		0.0		1.72		0.94		2.58		2175
Kepler-289d		14.11		0		0.0		125.85		0.41		2.26		481
Kepler-289c		14.11		0		0.0		66.06		0.01		1.73		598
Kepler-289b		14.11		0		0.0		34.55		0.02		2.74		750
Kepler-138d		13.34		0		0.0		23.09		0.00		1.41		477
Kepler-138c		13.34		0		0.0		13.78		0.02		2.91		567
Kepler-138b		13.34		0		0.0		10.31		0.00		1.34		624
Kepler-117c		14.48		0		0.0		50.79		1.84		3.63		844
Kepler-117b		14.48		0		0.0		18.80		0.09		1.51		1176
Kepler-101b		13.99		0		0.0		3.49		0.16		2.71		1864
Kepler-093b		9.93		0		0.0		4.73		0.01		2.89		1348
Kepler-091		12.81		3		0.0		6.25		0.73		2.25		2411
Kepler-089e		12.33		0		0.0		54.32		0.11		2.08		792
Kepler-089d		12.33		0		0.0		22.34		0.33		2.10		1065
Kepler-089c		12.33		0		0.0		10.42		0.05		2.10		1373
Kepler-089b		12.33		0		0.0		3.74		0.03		3.55		1932
Kepler-088b		13.27		0		0.0		10.95		0.03		1.79		1242
Kepler-087c		14.78		0		0.0		191.23		0.02		0.51		527
Kepler-087b		14.78		0		0.0		114.74		1.02		2.86		625
Kepler-080e		15.18		0		0.0		4.64		0.01		2.76		967
Kepler-080d		15.18		0		0.0		3.07		0.02		3.35		1111
Kepler-080c		15.18		0		0.0		9.52		0.02		2.18		762
Kepler-080b		15.18		0		0.0		7.05		0.02		2.26		842
Kepler-079e		14.03		0		0.0		81.07		0.01		1.20		650
Kepler-079d		14.03		0		0.0		52.09		0.02		0.14		754
Kepler-079c		14.03		0		0.0		27.40		0.02		1.43		934
Kepler-079b		14.03		0		0.0		13.48		0.03		2.17		1181
Kepler-078		11.75		2		0.0		0.35		0.01		2.55		2678
Kepler-077		14.10		0		0.0		3.58		0.43		2.45		1485
Kepler-075		15.52		0		0.0		8.88		10.10		5.43		984
Kepler-074		14.56		0		0.0		7.34		0.63		2.83		1303
Kepler-068c		10.11		0		0.0		9.61		0.01		3.94		1231
Kepler-068b		10.11		0		0.0		5.40		0.02		2.41		1491
Kepler-056c		12.72		0		0.0		21.40		0.57		2.92		1404
Kepler-056b		12.72		0		0.0		10.50		0.07		1.62		1780
Kepler-051d		14.83		0		0.0		130.18		0.02		-0.23		454
Kepler-051c		14.83		0		0.0		85.31		0.01		-0.72		522
Kepler-051b		14.83		0		0.0		45.16		0.01		-0.90		646
Kepler-046b		15.49		0		0.0		33.60		0.89		3.51		645
Kepler-045		16.63		0		0.0		2.46		0.50		2.52		936
Kepler-044		14.89		0		0.0		3.25		1.00		3.04		1830
Kepler-043		14.07		0		0.0		3.02		3.09		4.12		1906
Kepler-041		14.47		5		0.0		1.86		0.56		2.12		2127
Kepler-040		14.59		0		0.0		6.87		2.16		3.25		2076
Kepler-039		14.33		0		0.0		21.09		19.10		5.95		1011
Kepler-036c		12.22		0		0.0		16.24		0.02		1.74		1207
Kepler-036b		12.22		0		0.0		13.84		0.01		2.95		1273
Kepler-035		15.93		0		0.0		131.46		0.13		1.78		420
Kepler-034		15.04		0		0.0		288.82		0.22		2.23		350
Kepler-030d		15.62		0		0.0		142.64		0.07		1.10		421
Kepler-030c		15.62		0		0.0		60.33		1.69		3.60		561
Kepler-030b		15.62		0		0.0		29.22		0.03		1.85		715
Kepler-029c		15.46		0		0.0		13.29		0.01		1.38		952
Kepler-029b		15.46		0		0.0		10.34		0.01		1.37		1035
Kepler-026c		16.00		0		0.0		17.25		0.02		2.10		490
Kepler-026b		16.00		0		0.0		12.28		0.02		1.87		549
Kepler-025c		10.98		0		0.0		12.72		0.08		2.18		1241
Kepler-025b		10.98		0		0.0		6.24		0.03		2.54		1578
Kepler-022		11.81		0		0.0		289.86		0.02		2.48		340
Kepler-021		8.25		0		0.0		2.79		0.02		2.92		2409
Kepler-020d		12.65		0		0.0		77.61		0.03		2.58		523
Kepler-020c		12.65		0		0.0		10.85		0.04		2.60		1004
Kepler-020b		12.65		0		0.0		3.70		0.03		3.30		1438
Kepler-018d		13.75		0		0.0		14.86		0.05		1.19		949
Kepler-018c		13.75		0		0.0		7.64		0.05		1.72		1185
Kepler-018b		13.75		0		0.0		3.50		0.02		2.85		1537
Kepler-017		14.30		5		0.0		1.49		2.34		3.52		2036
Kepler-016		12.23		0		0.0		221.78		0.33		2.68		245
Kepler-015		13.91		0		0.0		4.94		0.70		2.34		1487
Kepler-014		12.18		0		0.0		6.79		7.68		5.01		1909
Kepler-013		9.95		9		0.0		1.76		6.00		4.32		2594
Kepler-012		13.53		0		0.0		4.44		0.43		1.30		1767
Kepler-011f		13.86		0		0.0		46.69		0.01		1.16		666
Kepler-011e		13.86		0		0.0		32.00		0.03		1.50		757
Kepler-011d		13.86		0		0.0		22.69		0.02		2.00		836
Kepler-011c		13.86		0		0.0		13.03		0.01		1.24		1024
Kepler-011b		13.86		0		0.0		10.30		0.01		1.75		1105
Kepler-010c		11.10		0		0.0		45.29		0.02		2.57		688
Kepler-010b		11.10		0		0.0		0.84		0.01		2.83		2602
Kepler-009c		13.93		0		0.0		38.91		0.10		1.53		683
Kepler-009b		13.93		0		0.0		19.24		0.14		1.86		865
Kepler-008		13.65		1		0.0		3.52		0.59		2.04		1978
Kepler-007		12.99		0		0.0		4.88		0.45		1.42		1927
Kepler-006		13.46		0		0.0		3.23		0.63		2.44		1726
Kepler-005		13.54		1		0.0		3.55		2.03		3.54		2013
Kepler-004		12.09		0		0.0		3.21		0.07		2.62		1928
KELT-18		10.21		9		0.0		2.87		1.18		2.47		2477
KELT-17		9.29		8		0.0		3.08		1.31		2.64		2481
KELT-15		11.44		1		0.0		3.33		1.20		2.55		1950
KELT-11		8.03		1		0.0		4.74		0.17		0.84		2026
KELT-10		10.70		0		0.0		4.17		0.68		2.15		1637
KELT-08		10.83		3		0.0		3.24		0.87		1.83		1994
KELT-06		10.42		0		0.0		7.85		0.43		2.01		1561
KELT-04		9.98		5		0.0		2.99		0.90		2.05		2169
KELT-03		9.82		3		0.0		2.70		1.48		3.01		2161
KELT-02		8.70		1		0.0		4.11		1.52		3.12		2037
K2-237		11.60		6		0.0		2.18		1.23		2.52		2158
K2-234		9.38		0		0.0		11.81		0.11		2.00		1253
K2-232		9.90		0		0.0		11.17		0.41		2.16		1189
K2-216		12.48		0		0.0		2.17		0.02		3.10		1309
K2-141b		11.49		5		0.0		0.28		0.02		3.08		2572
K2-140		12.62		0		0.0		6.57		1.02		3.05		1325
K2-139		11.65		0		0.0		28.38		0.39		2.69		672
K2-135d		10.51		0		0.0		6.20		0.01		1.68		772
K2-135c		10.51		0		0.0		3.65		0.00		2.19		922
K2-135b		10.51		0		0.0		1.21		0.01		2.63		1332
K2-113		13.68		0		0.0		5.82		1.29		3.61		1377
K2-111		11.14		0		0.0		5.35		0.03		3.14		1462
K2-110		11.91		0		0.0		13.86		0.05		3.19		759
K2-108		12.47		0		0.0		4.73		0.19		3.04		1735
K2-107		12.92		2		0.0		3.31		0.84		2.31		2106
K2-106c		12.10		0		0.0		13.34		0.02		2.30		939
K2-106b		12.10		1		0.0		0.57		0.02		3.48		2652
K2-099		11.15		0		0.0		18.25		0.97		2.67		1517
K2-098		12.17		0		0.0		10.14		0.10		2.85		1309
K2-096c		8.94		0		0.0		29.84		0.03		2.36		660
K2-096b		8.94		0		0.0		0.96		0.02		2.83		2077
K2-066		11.71		0		0.0		5.07		0.07		3.52		1784
K2-060		12.79		0		0.0		3.00		0.43		3.12		1573
K2-056		11.04		0		0.0		41.69		0.05		3.46		649
K2-055		13.55		0		0.0		2.85		0.14		3.09		1119
K2-039		10.83		0		0.0		4.61		0.12		2.48		2012
K2-038c		11.39		0		0.0		10.56		0.03		2.80		1115
K2-038b		11.39		0		0.0		4.02		0.04		3.90		1539
K2-034		11.45		1		0.0		3.00		1.65		3.32		1987
K2-032d		12.31		0		0.0		31.72		0.03		2.14		644
K2-032b		12.31		0		0.0		8.99		0.05		1.81		981
K2-031		10.80		6		0.0		1.26		1.86		3.71		2078
K2-030		13.53		0		0.0		4.10		0.62		2.38		1391
K2-029		12.56		0		0.0		3.26		0.73		2.55		1388
K2-027b		12.64		0		0.0		6.77		0.10		2.71		1094
K2-024c		11.28		0		0.0		42.34		0.05		0.99		699
K2-024b		11.28		0		0.0		20.89		0.06		1.81		885
K2-019c		13.00		0		0.0		11.91		0.08		2.52		913
K2-019b		13.00		0		0.0		7.92		0.09		1.62		1046
K2-018b		13.50		0		0.0		32.94		0.03		2.75		336
K2-003c		12.17		0		0.0		24.65		0.01		2.28		453
K2-003b		12.17		0		0.0		10.05		0.02		2.52		611
HD_219134c		5.57		0		0.0		6.76		0.01		2.93		930
HD_219134b		5.57		0		0.0		3.09		0.01		2.90		1207
HD_209458		7.65		0		0.0		3.52		0.71		2.23		1735
HD_189733		7.68		0		0.0		2.22		1.15		3.07		1417
HD_149026		8.16		0		0.0		2.88		0.37		2.62		2107
HD_106315c		8.95		0		0.0		21.06		0.05		2.07		1039
HD_106315b		8.95		0		0.0		9.55		0.04		3.04		1352
HD_097658		7.71		0		0.0		9.49		0.02		2.69		902
HD_080606		9.06		0		0.0		111.44		4.11		4.62		483
HD_017156		8.17		0		0.0		21.22		3.26		4.27		1051
HATS-59		13.95		0		0.0		5.42		0.81		2.76		1339
HATS-53		14.14		0		0.0		3.85		0.59		2.11		1558
HATS-52		13.67		12		0.0		1.37		2.24		3.37		2230
HATS-51		12.47		0		0.0		3.35		0.77		2.26		1840
HATS-50		14.03		0		0.0		3.82		0.39		2.02		1616
HATS-46		13.63		0		0.0		4.74		0.17		1.66		1256
HATS-45		13.31		0		0.0		4.19		0.70		2.35		1807
HATS-44		14.43		0		0.0		2.74		0.56		2.50		1403
HATS-43		13.59		0		0.0		4.39		0.26		1.54		1185
HATS-42		13.62		5		0.0		2.29		1.88		3.17		2201
HATS-41		12.68		0		0.0		4.19		9.70		4.91		1995
HATS-40		13.38		8		0.0		3.26		1.59		2.76		2491
HATS-39		12.75		1		0.0		4.58		0.63		1.85		1958
HATS-36		14.39		0		0.0		4.17		3.22		3.96		1627
HATS-35		12.56		15		0.0		1.82		1.22		2.65		2418
HATS-34		13.85		0		0.0		2.11		0.94		2.43		1716
HATS-33		11.91		0		0.0		2.55		1.19		2.97		1699
HATS-32		14.38		0		0.0		2.81		0.92		2.68		1707
HATS-31		13.11		4		0.0		3.38		0.88		2.09		2170
HATS-30		12.19		0		0.0		3.17		0.71		2.54		1682
HATS-29		12.61		0		0.0		4.61		0.65		2.34		1439
HATS-28		13.93		0		0.0		3.18		0.67		2.46		1489
HATS-27		12.77		0		0.0		4.64		0.53		1.76		1970
HATS-26		12.96		6		0.0		3.30		0.65		1.66		2285
HATS-25		13.10		0		0.0		4.30		0.61		2.26		1518
HATS-24		12.83		28		0.0		1.35		2.44		3.31		2469
HATS-23		13.90		4		0.0		2.16		1.47		2.35		1969
HATS-22		13.46		0		0.0		4.72		2.74		4.31		1020
HATS-21		12.19		0		0.0		3.55		0.33		1.88		1526
HATS-20		13.77		0		0.0		3.80		0.27		2.42		1362
HATS-19		13.03		0		0.0		4.57		0.43		1.35		1843
HATS-18		14.07		47		0.0		0.84		1.98		3.31		2444
HATS-17		12.39		0		0.0		16.25		1.34		4.01		968
HATS-16		13.83		1		0.0		2.69		3.27		3.87		1892
HATS-15		14.77		1		0.0		1.75		2.17		3.79		1776
HATS-14		13.79		0		0.0		2.77		1.07		3.20		1516
HATS-13		13.89		0		0.0		3.04		0.54		2.22		1481
HATS-12		12.76		7		0.0		3.14		2.39		3.43		2495
HATS-11		14.02		1		0.0		3.62		0.83		2.23		1944
HATS-10		13.11		0		0.0		3.31		0.53		2.63		1673
HATS-09		13.28		5		0.0		1.92		0.82		2.69		2161
HATS-08		14.03		0		0.0		3.58		0.14		1.50		1571
HATS-07		13.34		0		0.0		3.19		0.12		2.24		1288
HATS-06		15.16		0		0.0		3.33		0.32		2.07		858
HATS-05		12.63		0		0.0		4.76		0.24		1.95		1219
HATS-04		13.46		0		0.0		2.52		1.32		3.45		1566
HATS-03		12.44		1		0.0		3.55		1.07		2.63		1960
HATS-02		13.56		2		0.0		1.35		1.34		3.20		1873
HATS-01		12.05		0		0.0		3.45		1.85		3.30		1628
HAT-P-66		12.99		6		0.0		2.97		0.78		2.04		2260
HAT-P-65		13.15		12		0.0		2.60		0.53		1.30		2296
HAT-P-56		10.91		4		0.0		2.79		2.18		3.22		2188
HAT-P-55		13.21		0		0.0		3.58		0.58		2.33		1561
HAT-P-54		13.51		0		0.0		3.80		0.76		3.05		975
HAT-P-53		13.73		4		0.0		1.96		1.48		3.05		2113
HAT-P-52		14.07		0		0.0		2.75		0.82		2.99		1447
HAT-P-51		13.44		0		0.0		4.22		0.31		1.52		1416
HAT-P-50		11.76		3		0.0		3.12		1.35		3.00		2205
HAT-P-49		10.21		9		0.0		2.69		1.73		3.07		2530
HAT-P-48		12.16		0		0.0		4.41		0.17		1.18		1618
HAT-P-47		10.69		0		0.0		4.73		0.21		1.09		1908
HAT-P-46		11.94		0		0.0		4.46		0.49		2.00		1726
HAT-P-45		12.79		1		0.0		3.13		0.89		2.39		1961
HAT-P-44		13.21		0		0.0		4.30		0.35		1.73		1314
HAT-P-43		13.36		0		0.0		3.33		0.66		2.30		1615
HAT-P-42		12.17		0		0.0		4.64		1.04		2.76		1699
HAT-P-41		11.36		8		0.0		2.69		0.80		1.94		2303
HAT-P-40		11.34		2		0.0		4.46		0.61		1.63		2100
HAT-P-39		12.42		2		0.0		3.54		0.60		1.79		2054
HAT-P-38		12.56		0		0.0		4.64		0.27		2.27		1284
HAT-P-37		13.23		0		0.0		2.80		1.17		3.04		1517
HAT-P-36		12.26		9		0.0		1.33		1.85		3.30		2128
HAT-P-35		12.46		0		0.0		3.65		1.05		2.69		1902
HAT-P-34		10.16		0		0.0		5.45		3.33		4.05		1759
HAT-P-33		11.19		3		0.0		3.48		0.76		1.89		2117
HAT-P-32		11.29		8		0.0		2.15		0.80		1.80		2143
HAT-P-31		11.66		0		0.0		5.00		2.17		3.85		1729
