Name		Vmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
KELT-15		11.44		199		0.7		3.33		1.20		2.60		1951
K2-029		12.56		331		0.7		3.26		0.73		2.59		1388
HATS-46		13.63		562		0.7		4.74		0.17		1.71		1256
HAT-P-24		11.75		248		0.7		3.35		0.68		2.44		1930
HAT-P-08		10.30		131		0.7		3.08		1.27		2.94		2061
GJ_1214		14.67		926		0.7		1.58		0.02		2.07		679
WASP-092		13.18		368		0.6		2.17		0.81		2.28		2236
WASP-083		12.87		345		0.6		4.97		0.30		1.97		1326
WASP-075		11.45		187		0.6		2.48		1.07		2.85		2028
WASP-050		11.55		184		0.6		1.96		1.44		3.36		1715
WASP-042		12.57		313		0.6		4.98		0.53		2.38		1216
WASP-028		12.15		229		0.6		3.41		0.89		2.74		1727
WASP-026		11.10		160		0.6		2.77		1.02		2.88		1963
WASP-002		11.98		235		0.6		2.15		0.88		3.01		1530
Kepler-007		12.99		354		0.6		4.88		0.45		1.46		1927
K2-024c		11.28		158		0.6		42.36		0.08		1.47		729
HD_106315c		8.95		57		0.6		21.06		0.05		2.11		1039
HATS-30		12.19		262		0.6		3.17		0.71		2.59		1683
HATS-29		12.61		286		0.6		4.61		0.65		2.38		1440
HATS-27		12.77		317		0.6		4.64		0.53		1.81		1971
HATS-26		12.96		346		0.6		3.30		0.65		1.71		2286
HAT-P-49		10.21		93		0.6		2.69		1.73		3.11		2531
HAT-P-27		12.16		231		0.6		3.04		0.66		2.77		1439
HAT-P-09		12.30		264		0.6		3.92		0.78		2.36		1832
HAT-P-03		11.86		208		0.6		2.90		0.58		2.83		1415
GJ_3470		12.27		245		0.6		3.34		0.04		2.24		769
CoRoT-01		13.60		493		0.6		1.51		1.03		2.41		2279
WASP-156		11.57		158		0.5		3.84		0.13		2.55		1154
WASP-119		12.27		220		0.5		2.50		1.23		2.79		1863
WASP-111		10.26		92		0.5		2.31		1.83		3.13		2524
WASP-104		11.79		171		0.5		1.75		1.27		3.24		1796
WASP-102		12.73		271		0.5		2.71		0.62		2.32		1963
WASP-100		10.80		119		0.5		2.85		2.03		2.91		2618
WASP-098		12.98		315		0.5		2.96		0.92		2.91		1393
WASP-068		10.68		95		0.5		5.08		0.95		2.77		1769
WASP-064		12.29		222		0.5		1.57		1.27		3.02		2012
WASP-056		12.17		204		0.5		4.17		0.57		2.52		1450
TrES-3		12.50		260		0.5		1.31		1.90		3.36		1949
K2-096c		8.94		43		0.5		29.84		0.03		2.40		660
K2-096b		8.94		47		0.5		0.96		0.02		2.88		2077
HATS-51		12.47		247		0.5		3.35		0.77		2.30		1840
HATS-35		12.56		231		0.5		1.82		1.22		2.69		2418
HATS-34		13.85		425		0.5		2.11		0.94		2.48		1717
