Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
Kepler-1328 b		12.35		27		0.1		4.52		0.00		2.21		1426
Kepler-1168 b		13.77		32		0.1		55.82		0.02		2.33		513
Kepler-814 b		13.41		32		0.1		6.15		0.02		2.44		1488
Kepler-1332 b		12.20		18		0.1		11.87		0.01		2.71		960
Kepler-659 b		13.47		54		0.1		17.67		0.02		2.33		686
Kepler-1601 b		12.31		34		0.1		2.21		0.00		1.94		1899
Kepler-1335 b		13.28		28		0.1		6.26		0.01		2.79		980
Kepler-1129 b		13.80		44		0.1		24.34		0.03		2.28		825
Kepler-998 b		12.94		40		0.1		5.65		0.02		2.37		1486
Kepler-514 b		10.91		16		0.1		5.65		0.01		2.64		1619
Kepler-912 b		13.63		76		0.1		2.53		0.02		2.29		1879
Kepler-1388 c		13.52		79		0.1		5.54		0.02		2.39		801
Kepler-292 e		14.08		59		0.1		11.98		0.02		2.30		863
Kepler-1324 b		12.94		31		0.1		4.12		0.01		2.85		1088
Kepler-1069 b		11.63		15		0.1		23.90		0.01		2.72		808
Kepler-760 c		13.30		32		0.1		2.47		0.01		2.82		1518
Kepler-401 b		12.06		14		0.1		14.38		0.01		2.65		1191
Kepler-1430 b		13.06		42		0.1		2.46		0.01		2.50		1291
Kepler-844 b		13.19		64		0.1		2.61		0.01		2.66		1013
Kepler-1230 b		13.88		48		0.1		9.96		0.02		2.29		1169
Kepler-1560 b		11.91		31		0.1		3.03		0.00		2.06		1658
Kepler-515 b		10.95		16		0.1		19.96		0.01		2.80		742
Kepler-739 b		13.88		70		0.1		12.53		0.03		2.28		949
Kepler-540 b		10.86		18		0.1		172.70		0.02		2.29		453
Kepler-358 c		13.79		30		0.1		83.49		0.02		2.28		541
Kepler-1340 b		13.28		29		0.1		0.67		0.01		2.76		3405
Kepler-169 e		12.28		44		0.1		13.77		0.02		2.41		747
Kepler-1063 b		10.83		12		0.1		14.08		0.01		2.83		1062
Kepler-1167 b		13.82		70		0.1		1.00		0.01		2.64		1833
Kepler-250 b		13.50		31		0.1		4.15		0.00		2.44		1181
Kepler-1346 b		13.09		22		0.1		3.40		0.01		2.73		1799
Kepler-1637 b		11.85		25		0.1		6.11		0.00		2.06		1307
Kepler-1035 b		11.46		30		0.1		2.71		0.01		2.49		1674
Kepler-1182 b		13.77		40		0.1		11.17		0.02		2.35		1106
Kepler-11 g		12.24		24		0.1		118.38		0.03		2.28		499
Kepler-325 b		13.40		74		0.1		4.54		0.03		2.28		1426
Kepler-89 b		10.96		8		0.1		3.74		0.03		3.42		1932
Kepler-566 b		13.09		39		0.1		18.43		0.02		2.43		730
Kepler-767 b		13.89		61		0.1		161.53		0.12		2.20		418
Kepler-339 c		12.89		29		0.1		6.99		0.00		2.47		1081
Kepler-202 c		11.73		35		0.1		16.28		0.01		2.56		617
Kepler-1259 b		13.34		57		0.1		0.66		0.01		2.78		2164
Kepler-1402 b		12.93		47		0.1		2.03		0.00		1.83		1664
Kepler-907 b		10.32		10		0.1		15.87		0.01		2.53		1155
Kepler-1161 b		13.26		66		0.1		10.71		0.02		2.43		652
Kepler-343 b		12.72		27		0.1		8.97		0.02		2.35		1372
Kepler-152 c		12.49		30		0.1		88.26		0.02		2.35		399
Kepler-317 b		13.72		44		0.1		5.52		0.02		2.45		1237
Kepler-781 b		14.12		70		0.1		13.21		0.03		2.28		819
Kepler-302 b		13.91		37		0.1		30.18		0.05		2.36		835
Kepler-1342 b		13.54		41		0.1		2.22		0.01		2.68		1669
Kepler-851 b		13.48		29		0.1		8.51		0.01		2.66		1030
Kepler-251 c		13.60		52		0.1		16.51		0.02		2.29		839
Kepler-1282 b		13.94		36		0.1		2.13		0.01		2.76		1677
Kepler-249 c		12.15		35		0.1		7.11		0.01		2.85		528
Kepler-1294 b		13.66		29		0.1		115.69		0.03		2.28		479
Kepler-326 c		11.78		27		0.1		4.58		0.01		2.75		1128
Kepler-1102 b		13.48		32		0.1		51.33		0.02		2.30		616
Kepler-581 b		12.95		32		0.1		40.61		0.02		2.30		689
Kepler-1174 b		12.81		22		0.1		6.89		0.01		2.73		1296
Kepler-201 c		11.78		17		0.1		151.88		0.02		2.28		517
Kepler-275 c		14.03		37		0.1		16.09		0.03		2.28		1177
Kepler-1214 b		13.38		44		0.1		18.83		0.02		2.36		727
Kepler-657 b		13.81		50		0.1		24.54		0.04		2.30		822
Kepler-520 c		11.55		22		0.1		5.21		0.00		2.35		1485
Kepler-1537 b		12.62		48		0.1		1.44		0.01		2.50		1674
Kepler-189 b		12.94		25		0.1		10.40		0.01		2.54		852
Kepler-256 e		13.50		27		0.1		10.68		0.02		2.36		1179
Kepler-524 c		12.46		32		0.1		1.89		0.00		2.19		2062
Kepler-1029 b		12.30		31		0.1		4.42		0.01		2.60		1140
Kepler-1026 b		12.18		34		0.1		36.52		0.02		2.41		551
Kepler-1641 b		12.86		39		0.1		19.67		0.03		2.27		1000
Kepler-220 d		10.67		21		0.1		28.12		0.00		2.22		510
Kepler-1399 b		13.91		35		0.1		1.64		0.01		2.60		1964
Kepler-141 c		11.48		23		0.1		7.01		0.01		2.76		933
Kepler-436 c		13.49		51		0.1		16.80		0.02		2.37		657
Kepler-279 b		12.51		31		0.1		12.31		0.04		2.31		1493
Kepler-403 b		11.57		14		0.1		7.03		0.01		2.59		1502
Kepler-860 b		13.84		74		0.1		5.10		0.03		2.28		1422
Kepler-301 b		12.82		33		0.1		2.51		0.01		2.70		1665
Kepler-362 b		12.92		35		0.1		10.33		0.00		2.05		926
Kepler-680 b		13.72		54		0.1		3.69		0.02		2.34		1625
Kepler-995 b		13.07		48		0.1		28.27		0.02		2.30		646
Kepler-1125 b		13.31		24		0.1		17.67		0.01		2.57		875
Kepler-267 d		12.68		51		0.1		28.46		0.02		2.39		426
Kepler-333 b		12.23		31		0.1		12.55		0.01		2.67		549
Kepler-285 b		13.44		35		0.1		2.63		0.01		2.69		1444
Kepler-148 b		13.53		54		0.1		1.73		0.01		2.59		1661
Kepler-122 b		12.89		40		0.1		5.77		0.02		2.37		1525
Kepler-170 c		12.77		44		0.1		16.67		0.02		2.28		927
Kepler-1585 b		14.16		40		0.1		3.58		0.01		2.59		1430
Kepler-1205 b		13.41		46		0.1		1.08		0.01		2.76		1936
Kepler-816 b		14.04		85		0.1		10.51		0.88		3.31		928
Kepler-782 b		11.36		25		0.1		158.69		0.03		2.28		448
Kepler-600 b		12.96		56		0.1		23.68		0.03		2.28		698
Kepler-331 b		13.51		61		0.1		8.46		0.01		2.58		614
Kepler-161 c		12.33		46		0.1		7.06		0.02		2.47		974
Kepler-744 b		12.00		21		0.1		12.06		0.01		2.70		974
Kepler-253 c		13.63		66		0.1		10.28		0.02		2.30		871
Kepler-778 b		13.85		42		0.1		3.76		0.01		2.66		1223
Kepler-649 b		12.02		31		0.1		29.91		0.02		2.39		756
Kepler-1347 b		11.55		23		0.1		14.01		0.00		2.30		811
Kepler-899 b		13.72		47		0.1		19.18		0.02		2.30		827
Kepler-943 b		14.10		70		0.1		49.77		0.12		2.39		604
Kepler-1184 b		13.55		27		0.1		53.60		0.02		2.30		668
Kepler-1150 b		12.21		43		0.1		2.79		0.00		2.28		1230
Kepler-1060 b		13.09		26		0.1		46.88		0.02		2.36		657
Kepler-834 b		13.60		46		0.1		13.32		0.01		2.48		679
Kepler-1479 b		12.34		24		0.1		14.53		0.01		2.58		966
Kepler-1403 b		14.24		38		0.1		5.19		0.02		2.43		1512
Kepler-346 c		13.61		46		0.1		23.85		0.03		2.27		868
Kepler-1524 b		11.32		26		0.1		70.97		0.04		2.30		666
Kepler-289 b		12.60		24		0.1		34.54		0.02		2.34		805
Kepler-894 b		13.91		70		0.1		9.80		0.02		2.29		1013
Kepler-187 c		12.62		36		0.1		10.64		0.02		2.30		1291
Kepler-55 f		13.36		32		0.1		10.20		0.01		2.73		670
Kepler-236 b		12.54		37		0.1		8.30		0.01		2.74		542
Kepler-281 c		14.16		72		0.1		36.34		0.09		2.38		672
Kepler-1169 b		11.46		18		0.1		6.11		0.00		2.16		1486
Kepler-1246 b		12.69		24		0.1		11.32		0.01		2.70		737
Kepler-931 b		12.43		24		0.1		8.04		0.01		2.68		990
Kepler-353 b		12.95		49		0.1		5.80		0.00		2.07		632
Kepler-150 b		13.42		27		0.1		3.43		0.01		2.59		1465
Kepler-1487 b		12.31		20		0.1		7.32		0.02		2.43		1671
Kepler-151 c		13.00		32		0.1		24.67		0.02		2.45		701
Kepler-56 b		10.33		10		0.1		10.50		0.05		2.33		1552
Kepler-1032 b		13.36		57		0.1		3.29		0.01		2.55		1127
Kepler-1427 b		13.82		41		0.1		0.97		0.00		2.40		2408
Kepler-169 b		12.28		36		0.1		3.25		0.00		2.44		1208
Kepler-1634 b		12.79		21		0.1		374.88		0.03		2.28		298
Kepler-796 b		11.18		17		0.1		6.40		0.01		2.65		1278
Kepler-1013 b		12.37		40		0.1		18.93		0.02		2.43		688
Kepler-668 b		13.58		71		0.1		8.35		0.02		2.30		1002
Kepler-1363 b		13.13		39		0.1		2.94		0.01		2.60		1230
Kepler-301 d		12.82		26		0.1		13.75		0.01		2.62		944
Kepler-1572 b		12.36		27		0.1		5.50		0.00		2.16		1279
Kepler-972 b		13.46		72		0.1		7.04		0.07		2.38		1419
Kepler-237 c		13.22		50		0.1		8.10		0.02		2.45		845
Kepler-735 b		13.50		71		0.1		11.52		0.03		2.28		852
Kepler-1404 b		13.88		36		0.1		15.93		0.01		2.48		789
Kepler-978 b		12.07		31		0.1		49.62		0.03		2.28		691
Kepler-1244 b		11.35		11		0.1		3.70		0.01		2.69		2211
Kepler-804 b		12.30		25		0.1		14.37		0.01		2.52		1003
Kepler-154 b		13.09		26		0.1		33.04		0.02		2.39		727
Kepler-353 c		12.95		35		0.1		8.41		0.01		2.73		559
Kepler-1272 b		12.90		22		0.1		51.13		0.02		2.36		677
Kepler-646 b		12.14		31		0.1		15.87		0.01		2.49		887
Kepler-336 d		12.19		23		0.1		20.68		0.02		2.36		1001
Kepler-1014 b		12.94		46		0.1		16.57		0.02		2.35		811
Kepler-983 b		12.16		21		0.1		60.09		0.02		2.36		645
Kepler-1373 b		12.85		25		0.1		1.29		0.00		2.47		2646
Kepler-345 c		11.66		30		0.1		9.39		0.01		2.53		691
Kepler-232 b		13.80		86		0.1		4.43		0.03		2.27		1436
Kepler-745 b		13.66		35		0.1		9.93		0.02		2.42		1130
Kepler-183 c		13.38		42		0.1		11.64		0.02		2.39		1043
Kepler-296 e		12.81		29		0.1		34.14		0.01		2.62		401
Kepler-374 b		13.18		41		0.1		1.90		0.00		2.30		1889
Kepler-385 b		13.85		49		0.1		10.04		0.02		2.29		1276
Kepler-984 b		11.91		24		0.1		43.03		0.02		2.44		637
Kepler-549 c		12.90		31		0.1		117.04		0.03		2.28		421
Kepler-1377 b		13.95		54		0.1		0.74		0.01		2.60		2195
Kepler-219 b		12.40		42		0.1		4.59		0.03		2.28		1744
Kepler-1082 b		11.99		30		0.1		1.54		0.00		2.43		2233
Kepler-54 d		12.90		23		0.1		21.00		0.01		2.86		470
Kepler-684 b		13.91		92		0.1		6.77		0.03		2.28		1126
Kepler-821 b		12.97		40		0.1		1.92		0.01		2.66		1576
Kepler-387 c		12.61		19		0.1		11.84		0.00		2.07		1062
CoRoT-23 b		12.45		21		0.1		3.63		3.09		4.28		1953
Kepler-902 b		13.33		33		0.1		40.11		0.02		2.32		658
Kepler-603 b		13.28		39		0.1		21.05		0.02		2.30		865
Kepler-348 b		11.45		12		0.1		7.06		0.01		2.85		1539
Kepler-1485 b		11.76		11		0.1		19.92		0.01		2.81		958
Kepler-701 b		13.28		68		0.1		10.36		0.02		2.28		941
Kepler-589 b		12.91		42		0.1		16.55		0.02		2.38		793
Kepler-197 d		10.58		13		0.1		15.68		0.01		2.55		1041
Kepler-81 d		12.58		24		0.1		20.84		0.01		2.54		517
Kepler-223 e		13.73		34		0.1		19.72		0.02		2.35		892
Kepler-237 b		13.22		30		0.1		4.72		0.01		2.76		1012
Kepler-1138 b		13.78		37		0.1		3.17		0.01		2.65		1507
Kepler-1267 b		14.09		43		0.1		13.03		0.03		2.27		1137
Kepler-56 c		10.33		16		0.1		21.41		0.20		2.34		1224
Kepler-190 b		12.28		41		0.1		2.02		0.01		2.75		1477
Kepler-1108 b		13.26		27		0.1		4.51		0.01		2.80		1256
Kepler-644 b		12.72		41		0.1		3.17		0.03		2.27		2370
Kepler-342 b		12.00		20		0.1		15.17		0.02		2.39		1241
Kepler-257 d		13.45		56		0.1		24.66		0.08		2.38		743
Kepler-715 b		13.65		68		0.1		10.01		0.04		2.32		1132
Kepler-357 d		13.51		45		0.1		49.50		0.04		2.29		514
Kepler-110 c		11.66		22		0.1		31.72		0.02		2.40		827
Kepler-300 b		12.80		26		0.1		10.45		0.01		2.67		1065
Kepler-986 b		12.17		24		0.1		56.43		0.02		2.36		601
Kepler-1369 b		13.84		38		0.1		25.87		0.02		2.30		796
Kepler-1101 b		13.42		26		0.1		81.32		0.02		2.33		512
Kepler-22 b		10.21		14		0.1		289.86		0.02		2.35		340
Kepler-206 b		12.05		15		0.1		7.78		0.01		2.53		1298
Kepler-1091 b		13.09		31		0.1		1.43		0.01		2.80		2155
Kepler-508 b		10.43		11		0.1		25.31		0.01		2.69		918
Kepler-1334 b		13.67		40		0.1		15.65		0.02		2.38		887
Kepler-1469 b		14.23		49		0.1		21.86		0.02		2.29		772
Kepler-143 c		12.29		30		0.1		27.08		0.03		2.28		931
Kepler-240 b		13.61		32		0.1		4.14		0.01		2.72		1094
Kepler-822 b		13.04		33		0.1		3.22		0.01		2.61		1693
Kepler-888 b		11.66		15		0.1		70.70		0.01		2.61		555
Kepler-941 b		13.98		62		0.1		17.42		0.03		2.27		828
Kepler-795 b		11.77		16		0.1		29.62		0.01		2.66		739
Kepler-862 b		13.43		69		0.1		3.15		0.02		2.41		1397
Kepler-388 c		12.66		35		0.1		13.30		0.00		2.02		596
Kepler-18 b		11.87		24		0.1		3.50		0.02		2.89		1537
Kepler-1366 b		13.10		47		0.1		2.16		0.01		2.78		1082
Kepler-342 e		12.00		23		0.1		1.64		0.00		2.06		2548
Kepler-1354 b		12.96		22		0.1		76.61		0.03		2.28		647
Kepler-852 b		12.60		24		0.1		44.93		0.02		2.32		736
Kepler-1239 b		14.12		39		0.1		5.19		0.03		2.28		1841
Kepler-769 b		13.39		46		0.1		7.43		0.03		2.28		1429
Kepler-1645 b		12.95		21		0.1		16.18		0.01		2.60		948
Kepler-1565 b		13.32		50		0.1		1.54		0.01		2.52		1569
Kepler-1140 b		13.38		57		0.1		24.09		0.02		2.29		616
Kepler-122 d		12.89		23		0.1		21.59		0.02		2.41		982
Kepler-1036 b		12.21		30		0.1		122.88		0.03		2.27		434
Kepler-200 b		12.58		40		0.1		8.59		0.02		2.43		1104
Kepler-879 b		12.77		32		0.1		33.39		0.02		2.32		742
Kepler-768 b		13.63		33		0.1		11.39		0.01		2.59		850
Kepler-175 c		13.49		42		0.1		34.04		0.03		2.27		771
Kepler-1278 b		12.32		24		0.1		3.24		0.00		2.27		1781
Kepler-761 b		13.16		36		0.1		10.13		0.02		2.48		1052
Kepler-399 c		12.78		21		0.1		26.68		0.01		2.77		623
Kepler-49 e		12.49		27		0.1		18.60		0.01		2.75		492
Kepler-645 b		12.62		40		0.1		3.28		0.02		2.45		1836
Kepler-1047 b		11.87		16		0.1		56.19		0.02		2.45		646
Kepler-1266 b		13.92		47		0.1		28.47		0.02		2.31		613
Kepler-1016 b		13.84		65		0.1		1.95		0.02		2.42		1912
Kepler-182 c		13.57		46		0.1		20.68		0.04		2.29		999
Kepler-967 c		12.54		33		0.1		198.71		0.04		2.31		335
Kepler-172 d		12.88		29		0.1		14.63		0.02		2.39		965
Kepler-185 b		12.59		42		0.1		1.63		0.01		2.49		1628
Kepler-1016 c		13.84		32		0.1		105.66		0.04		2.31		506
Kepler-765 b		13.17		30		0.1		27.67		0.02		2.34		817
Kepler-1532 b		13.18		43		0.1		1.09		0.01		2.69		2108
Kepler-704 b		13.63		72		0.1		3.76		0.02		2.31		1458
Kepler-842 b		13.00		58		0.1		1.22		0.01		2.72		1657
Kepler-325 c		13.40		44		0.1		12.76		0.02		2.32		1011
Kepler-1144 b		13.44		28		0.1		17.15		0.01		2.49		899
Kepler-280 b		12.91		34		0.1		2.14		0.01		2.79		1720
Kepler-1064 b		11.89		21		0.1		16.54		0.01		2.76		757
Kepler-368 c		11.23		12		0.1		72.38		0.05		2.34		769
Kepler-1097 b		13.40		32		0.1		187.75		0.03		2.28		343
Kepler-193 c		13.24		28		0.1		50.70		0.02		2.29		752
Kepler-384 b		12.08		17		0.1		22.60		0.00		2.43		760
Kepler-631 b		12.26		32		0.1		17.98		0.03		2.28		1077
Kepler-749 b		13.63		71		0.1		17.32		0.03		2.27		715
Kepler-241 b		13.06		58		0.1		12.72		0.02		2.37		675
Kepler-254 b		14.27		103		0.1		5.83		0.05		2.34		1295
Kepler-169 d		12.28		25		0.1		8.35		0.01		2.59		882
Kepler-227 c		13.75		30		0.1		54.42		0.03		2.27		662
Kepler-235 e		13.28		41		0.1		46.18		0.02		2.40		362
Kepler-1523 b		13.30		46		0.1		0.94		0.01		2.73		2354
Kepler-217 b		12.18		21		0.1		5.37		0.02		2.40		1937
Kepler-82 e		13.53		56		0.1		5.90		0.02		2.33		1197
Kepler-180 c		12.70		33		0.1		41.89		0.03		2.27		698
Kepler-537 b		11.71		25		0.1		3.25		0.01		2.76		1570
Kepler-245 b		13.69		67		0.1		7.49		0.02		2.31		953
Kepler-287 c		13.20		37		0.1		44.85		0.03		2.28		681
Kepler-33 d		12.62		29		0.1		21.78		0.10		2.38		1121
Kepler-1423 b		12.47		20		0.1		23.96		0.00		2.35		633
Kepler-252 b		12.65		37		0.1		6.67		0.01		2.57		679
Kepler-717 b		13.97		73		0.1		4.41		0.02		2.34		1292
WTS-1 b		15.19		85		0.1		3.35		4.00		3.84		1780
Kepler-132 c		10.52		17		0.1		6.41		0.01		2.62		1438
Kepler-1545 b		13.14		27		0.1		163.69		0.02		2.30		359
Kepler-229 d		13.87		64		0.1		41.19		0.05		2.33		519
Kepler-864 b		14.38		53		0.1		5.83		0.02		2.35		1310
Kepler-1412 b		11.83		22		0.1		3.61		0.00		1.96		1753
Kepler-802 b		13.31		49		0.1		40.06		0.04		2.30		634
Kepler-838 b		13.86		49		0.1		15.75		0.02		2.29		928
Kepler-365 b		13.15		31		0.1		10.66		0.02		2.47		1146
Kepler-711 b		13.20		65		0.1		23.59		0.04		2.29		687
Kepler-336 c		12.19		24		0.1		9.60		0.02		2.45		1292
Kepler-261 c		11.67		29		0.1		24.57		0.01		2.49		641
Kepler-1005 b		11.79		18		0.1		6.50		0.01		2.84		1308
Kepler-843 b		13.76		81		0.1		2.05		0.02		2.31		1902
Kepler-1117 b		12.51		26		0.1		4.79		0.00		2.41		1328
Kepler-1103 b		12.78		27		0.1		19.79		0.02		2.38		973
Kepler-940 b		13.99		39		0.1		59.62		0.03		2.28		596
Kepler-1146 b		13.64		43		0.1		2.35		0.01		2.57		1272
Kepler-1116 b		13.65		33		0.1		41.70		0.02		2.32		649
Kepler-309 b		12.93		30		0.1		5.92		0.01		2.75		907
Kepler-462 b		10.88		13		0.1		84.69		0.04		2.32		873
Kepler-250 c		13.50		56		0.1		7.16		0.02		2.38		985
Kepler-324 b		12.34		29		0.1		4.39		0.00		2.45		1192
Kepler-1193 b		12.09		20		0.1		2.83		0.01		2.67		1859
Kepler-714 b		13.88		74		0.1		8.10		0.67		3.15		1277
KIC 11442793 d		12.53		24		0.1		56.74		0.02		2.28		689
Kepler-176 c		12.69		49		0.1		12.76		0.02		2.31		867
Kepler-146 b		12.47		37		0.1		31.16		0.04		2.32		852
Kepler-32 e		12.90		48		0.1		2.90		0.01		2.84		880
Kepler-1575 b		13.87		31		0.1		2.55		0.01		2.66		1645
Kepler-338 d		10.84		16		0.1		44.43		0.03		2.27		903
Kepler-1121 b		10.87		13		0.1		13.15		0.01		2.53		1308
Kepler-194 b		13.45		29		0.1		2.09		0.01		2.85		1976
Kepler-597 b		12.56		42		0.1		13.02		0.02		2.36		970
Kepler-794 b		12.02		20		0.1		11.13		0.02		2.44		1224
Kepler-611 b		13.15		34		0.1		2.44		0.01		2.69		1761
Kepler-389 b		13.90		32		0.1		3.24		0.01		2.85		1325
Kepler-242 b		13.32		59		0.1		8.20		0.02		2.31		941
Kepler-211 b		11.49		29		0.1		4.14		0.01		2.60		1182
Kepler-129 c		10.32		11		0.1		82.20		0.02		2.32		697
Kepler-397 b		14.12		48		0.1		22.25		0.02		2.34		677
Kepler-1581 b		11.11		20		0.1		6.28		0.00		1.90		1456
Kepler-1120 b		13.26		36		0.1		2.95		0.01		2.73		1257
Kepler-204 b		12.49		31		0.1		14.40		0.02		2.32		1090
Kepler-430 b		12.48		23		0.1		35.97		0.03		2.28		868
Kepler-268 b		12.41		26		0.1		25.93		0.02		2.32		951
Kepler-213 c		12.17		41		0.1		4.82		0.02		2.37		1511
Kepler-1358 b		12.76		28		0.1		7.06		0.00		2.43		1017
Kepler-287 b		13.20		32		0.1		20.34		0.02		2.37		886
Kepler-304 e		12.75		51		0.1		1.50		0.01		2.53		1461
Kepler-295 b		12.76		19		0.1		12.65		0.01		2.55		934
Kepler-1630 b		11.84		18		0.1		510.00		0.02		2.41		207
Kepler-374 d		13.18		26		0.1		5.03		0.01		2.66		1365
Kepler-991 b		12.72		41		0.1		82.53		0.02		2.32		348
Kepler-256 d		13.50		36		0.1		5.84		0.02		2.33		1442
Kepler-250 d		13.50		38		0.1		17.65		0.02		2.42		729
Kepler-132 b		10.52		17		0.1		6.18		0.01		2.54		1456
Kepler-344 b		13.71		40		0.1		21.96		0.02		2.31		835
Kepler-199 c		12.10		35		0.1		67.09		0.03		2.28		560
Kepler-1395 b		11.35		24		0.1		3.78		0.00		1.90		1745
Kepler-164 d		13.01		26		0.1		28.99		0.02		2.34		842
Kepler-1286 b		13.68		36		0.1		11.25		0.02		2.43		1042
Kepler-1118 b		13.08		35		0.1		38.67		0.02		2.29		684
Kepler-959 b		11.60		27		0.1		14.80		0.06		2.37		1533
Kepler-890 b		13.81		69		0.1		52.76		0.29		2.50		682
Kepler-635 b		11.96		21		0.1		23.45		0.02		2.30		1036
Kepler-892 b		13.38		70		0.1		13.75		0.02		2.28		723
Kepler-1058 b		13.13		35		0.1		110.97		0.02		2.29		347
CoRoT-17 b		12.62		26		0.1		3.77		2.46		4.12		1847
Kepler-225 b		13.34		40		0.1		6.74		0.01		2.53		554
Kepler-662 b		13.30		40		0.1		21.68		0.02		2.42		644
Kepler-1086 c		13.07		34		0.1		161.52		0.03		2.28		282
Kepler-1325 b		13.54		42		0.1		33.88		0.02		2.28		679
Kepler-376 b		12.38		20		0.1		4.92		0.00		2.36		1542
Kepler-606 b		13.28		37		0.1		24.32		0.03		2.28		944
Kepler-58 b		13.38		53		0.1		10.22		0.02		2.29		1130
Kepler-1143 b		13.15		45		0.1		2.89		0.01		2.67		1322
Kepler-82 c		13.53		63		0.1		51.54		0.10		2.38		592
Kepler-1481 b		12.70		29		0.1		5.94		0.01		2.57		999
Kepler-898 b		13.34		32		0.1		5.87		0.01		2.83		812
Kepler-24 e		13.45		30		0.1		19.00		0.02		2.29		1029
Kepler-865 b		12.74		46		0.1		14.16		0.02		2.33		916
Kepler-574 b		12.92		54		0.1		7.66		0.02		2.35		1123
Kepler-153 c		12.48		32		0.1		46.90		0.02		2.32		580
Kepler-1245 c		13.57		32		0.1		2.94		0.01		2.78		1419
Kepler-238 d		13.54		32		0.1		13.23		0.03		2.27		1192
Kepler-929 b		12.89		42		0.1		0.92		0.00		2.41		2494
Kepler-1143 c		13.15		33		0.1		210.63		0.04		2.30		316
Kepler-588 b		13.28		68		0.1		4.22		0.02		2.30		1478
Kepler-996 b		13.25		37		0.1		3.77		0.01		2.50		1667
Kepler-752 b		14.01		56		0.1		18.83		0.02		2.28		772
Kepler-99 b		10.85		17		0.1		4.60		0.02		3.36		1047
Kepler-1113 b		13.29		27		0.1		42.30		0.02		2.28		741
Kepler-904 b		13.09		28		0.1		3.02		0.01		2.61		1905
Kepler-1242 b		13.38		50		0.1		13.63		0.02		2.39		755
Kepler-812 b		12.76		34		0.1		10.12		0.04		2.30		1575
Kepler-249 d		12.15		31		0.1		15.37		0.01		2.74		408
Kepler-829 b		13.36		41		0.1		6.88		0.02		2.44		1214
KIC 11442793 e		12.53		19		0.1		91.94		0.02		2.30		587
Kepler-280 c		12.91		49		0.1		4.81		0.01		2.48		1313
Kepler-1444 b		10.90		23		0.1		33.42		0.02		2.42		754
Kepler-200 c		12.58		21		0.1		10.22		0.01		2.73		1042
Kepler-969 b		11.98		28		0.1		34.17		0.02		2.46		605
Kepler-1516 b		12.95		25		0.1		7.26		0.01		2.62		1285
Kepler-326 b		11.78		34		0.1		2.25		0.01		2.85		1430
Kepler-284 b		14.15		48		0.1		12.70		0.02		2.40		890
Kepler-207 c		11.84		12		0.1		3.07		0.01		2.84		2104
Kepler-598 b		12.98		28		0.1		3.70		0.01		2.84		1335
Kepler-130 b		10.53		18		0.1		8.46		0.00		2.28		1257
Kepler-1488 b		11.69		11		0.1		39.82		0.01		2.56		793
Kepler-216 c		12.70		37		0.1		17.41		0.03		2.27		1082
Kepler-1271 b		12.57		19		0.1		3.03		0.01		2.82		1892
Kepler-1024 b		14.05		52		0.1		66.42		0.05		2.34		476
Kepler-1093 b		12.49		18		0.1		25.08		0.01		2.51		927
Kepler-33 e		12.62		20		0.1		31.78		0.05		2.36		988
Kepler-387 b		12.61		21		0.1		6.79		0.00		2.30		1278
Kepler-1578 b		13.78		46		0.1		1.45		0.00		2.32		1895
Kepler-755 c		11.96		36		0.1		2.85		0.01		2.60		1322
Kepler-351 b		14.21		49		0.1		37.05		0.03		2.27		641
Kepler-144 b		10.83		16		0.1		5.89		0.01		2.68		1533
Kepler-1388 d		13.52		71		0.1		20.96		0.02		2.28		514
Kepler-1344 b		12.71		29		0.1		4.77		0.01		2.57		1527
Kepler-866 b		13.61		47		0.1		2.62		0.01		2.70		1250
Kepler-1021 b		13.41		46		0.1		13.47		0.02		2.37		885
Kepler-948 b		13.23		32		0.1		7.77		0.01		2.56		1148
Kepler-1219 b		10.85		11		0.1		16.10		0.02		2.44		1295
Kepler-1593 b		13.68		32		0.1		174.51		0.03		2.27		333
Kepler-1595 b		13.61		30		0.1		4.56		0.01		2.57		1184
Kepler-436 b		13.49		42		0.1		64.00		0.02		2.29		420
Kepler-1353 b		13.28		27		0.1		24.75		0.01		2.59		597
Kepler-136 c		10.57		18		0.1		16.40		0.01		2.49		1158
Kepler-903 b		13.06		33		0.1		10.35		0.01		2.48		1056
Kepler-146 c		12.47		24		0.1		76.73		0.03		2.27		631
Kepler-235 c		13.28		35		0.1		7.82		0.01		2.62		654
Kepler-826 b		12.06		20		0.1		4.49		0.01		2.60		1607
Kepler-312 c		11.66		29		0.1		19.75		0.03		2.27		1123
Kepler-751 b		13.25		47		0.1		17.44		0.02		2.34		799
WASP-89 b		11.09		24		0.1		3.36		5.82		4.94		1289
Kepler-788 b		13.90		39		0.1		8.40		0.02		2.32		1344
Kepler-1185 b		11.04		9		0.1		104.35		0.01		2.68		460
Kepler-133 b		11.40		15		0.1		8.13		0.01		2.61		1396
Kepler-915 b		12.10		14		0.1		4.59		0.01		2.84		1732
Kepler-576 b		12.72		46		0.1		29.91		0.03		2.28		739
Kepler-331 c		13.51		49		0.1		17.28		0.01		2.57		484
Kepler-298 c		13.14		39		0.1		22.93		0.01		2.52		492
Kepler-171 c		13.23		59		0.1		11.46		0.02		2.32		940
