Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-44 b		11.41		237		1.2		2.42		0.89		2.88		1603
HAT-P-56 b		9.88		118		1.2		2.79		2.18		3.27		2188
Kepler-854 b		12.11		339		1.2		2.14		1.00		2.46		2157
Kepler-445 c		12.93		473		1.2		4.87		0.02		2.32		466
Kepler-840 b		12.68		440		1.2		2.50		1.00		2.41		1830
HAT-P-49 b		9.40		94		1.2		2.69		1.73		3.11		2531
Kepler-8 b		12.32		334		1.1		3.52		0.59		2.02		1976
Kepler-63 b		10.10		125		1.1		9.43		0.13		2.39		1030
Kepler-138 b		9.68		103		1.1		10.31		0.00		0.90		536
WASP-8 b		8.22		49		1.1		8.16		2.14		3.94		1103
Kepler-51 c		13.22		498		1.1		85.31		0.01		0.23		516
Kepler-18 d		11.87		276		1.1		14.86		0.05		1.24		949
Kepler-94 b		10.68		155		1.1		2.51		0.03		2.20		1303
K2-3 b		8.80		66		1.1		10.05		0.02		2.41		603
HATS-2 b		11.47		210		1.0		1.35		1.35		3.24		1874
WASP-47 b		10.31		118		1.0		4.16		1.12		3.09		1519
WASP-5 b		10.65		137		1.0		1.63		1.62		3.48		2072
HAT-P-23 b		10.85		157		1.0		1.21		2.10		3.37		2439
HAT-P-36 b		10.72		151		1.0		1.33		1.84		3.40		2163
Kepler-1624 b		12.50		323		1.0		3.29		0.11		2.39		771
Kepler-6 b		11.71		244		1.0		3.23		0.67		2.29		1789
HATS-1 b		10.63		136		1.0		3.45		1.87		3.35		1627
HAT-P-29 b		10.39		133		1.0		5.72		0.78		2.80		1496
WASP-57 b		11.29		186		1.0		2.84		0.68		3.04		1494
CoRoT-25 b		12.99		396		0.9		4.86		0.27		1.79		1572
HAT-P-35 b		11.07		156		0.9		3.65		1.05		2.74		1877
WTS-2 b		13.46		476		0.9		1.02		1.12		2.84		1837
Kepler-1308 b		11.24		172		0.9		2.10		0.00		1.26		771
HAT-P-7 b		9.34		72		0.9		2.20		1.79		3.22		2647
Qatar-2 b		10.79		139		0.9		1.34		2.48		3.90		1534
Kepler-45 b		13.08		411		0.9		2.46		0.51		2.67		940
