Name		Hmag		AtmDepth (ppm)		SNR		Period		Mass		logg		Eq Temp
HATS-23		12.26		458		1.3		2.16		1.47		2.40		1970
HAT-P-55		11.63		331		1.3		3.58		0.58		2.38		1561
HAT-P-09		11.02		264		1.3		3.92		0.78		2.36		1832
HAT-P-05		10.48		197		1.3		2.79		1.06		2.86		1805
WASP-142		11.44		289		1.2		2.05		0.84		2.23		2390
WASP-111		9.00		92		1.2		2.31		1.83		3.13		2524
WASP-064		10.96		222		1.2		1.57		1.27		3.02		2012
WASP-057		11.24		254		1.2		2.84		0.64		2.72		1593
K2-024b		9.18		101		1.2		20.89		0.06		1.83		923
HATS-08		12.66		491		1.2		3.58		0.14		1.55		1571
HAT-P-43		11.76		322		1.2		3.33		0.66		2.35		1616
WASP-157		10.76		194		1.1		3.95		0.57		2.57		1551
WASP-100		9.67		119		1.1		2.85		2.03		2.91		2618
WASP-091		9.71		114		1.1		2.80		1.34		3.49		1360
MASCARA-1		7.74		47		1.1		2.15		3.70		3.75		3028
Kepler-425		12.81		494		1.1		3.80		0.25		1.91		1277
Kepler-045		12.89		491		1.1		2.46		0.50		2.56		936
K2-141b		8.40		65		1.1		0.28		0.02		3.13		2573
HATS-35		11.12		231		1.1		1.82		1.22		2.69		2418
HATS-28		12.09		339		1.1		3.18		0.67		2.50		1490
HATS-07		10.98		220		1.1		3.19		0.12		2.28		1289
HATS-03		10.69		187		1.1		3.55		1.07		2.68		1960
HAT-P-36		10.60		179		1.1		1.33		1.85		3.34		2128
GJ_9827c		7.19		38		1.1		3.65		0.01		2.64		954
GJ_9827b		7.19		36		1.1		1.21		0.03		3.31		1383
CoRoT-02		10.31		148		1.1		1.74		3.57		3.77		1810
Kepler-426		13.21		533		1.0		3.22		0.34		2.00		1548
HATS-50		12.29		366		1.0		3.82		0.39		2.07		1616
HATS-44		12.17		324		1.0		2.74		0.56		2.55		1404
HAT-P-56		9.83		118		1.0		2.79		2.18		3.27		2188
HAT-P-49		9.35		93		1.0		2.69		1.73		3.11		2531
HAT-P-07		9.33		93		1.0		2.21		1.87		3.04		2637
CoRoT-05		12.55		390		1.0		4.04		0.47		2.16		1604
XO-4		9.41		87		0.9		4.12		1.61		3.18		1953
WTS-2		13.41		558		0.9		1.02		1.12		2.75		1826
WASP-087		9.60		96		0.9		1.68		2.18		3.38		2749
WASP-045		10.29		123		0.9		3.13		1.00		3.27		1392
Kepler-423		12.78		396		0.9		2.68		0.59		2.39		1642
Kepler-008		12.29		302		0.9		3.52		0.59		2.08		1978
HATS-31		11.57		238		0.9		3.38		0.88		2.14		2170
HATS-02		11.39		210		0.9		1.35		1.34		3.24		1873
HATS-01		10.58		137		0.9		3.45		1.85		3.35		1628
HAT-P-66		11.68		250		0.9		2.97		0.78		2.08		2260
HAT-P-29		10.30		133		0.9		5.72		0.78		2.80		1496
EPIC_218916923		9.66		96		0.9		28.38		0.38		2.71		661
XO-5		10.35		108		0.8		4.19		1.19		3.16		1442
WASP-136		8.81		56		0.8		5.21		1.51		3.02		2073
WASP-112		11.90		241		0.8		3.04		0.88		2.78		1648
WASP-065		10.35		117		0.8		2.31		1.55		3.48		1766
WASP-059		9.72		86		0.8		7.92		0.86		3.62		791
WASP-047b		10.19		110		0.8		4.16		1.14		3.16		1508
WASP-044		11.34		183		0.8		2.42		0.87		3.11		1552
WASP-005		10.60		137		0.8		1.63		1.59		3.40		2085
Qatar-2		10.62		132		0.8		1.34		2.47		3.94		1529
LHS_1140		8.82		58		0.8		24.74		0.02		3.50		262
Kepler-427		12.78		345		0.8		10.29		0.29		1.60		1281
Kepler-041		12.89		374		0.8		1.86		0.56		2.17		2127
Kepler-006		11.63		209		0.8		3.23		0.63		2.49		1726
KELT-16		10.64		124		0.8		0.97		2.75		3.57		2918
K2-107		11.21		180		0.8		3.31		0.84		2.35		2106
HATS-24		11.38		185		0.8		1.35		2.44		3.35		2469
HATS-20		11.86		224		0.8		3.80		0.27		2.46		1363
HATS-11		12.24		282		0.8		3.62		0.83		2.28		1944
HAT-P-37		11.67		211		0.8		2.80		1.17		3.08		1517
HAT-P-35		11.03		158		0.8		3.65		1.05		2.73		1902
HAT-P-23		10.79		132		0.8		1.21		2.07		3.58		2322
WASP-129		10.41		97		0.7		5.75		1.00		3.40		1281
WASP-072		9.62		71		0.7		2.22		1.46		3.16		2620
WASP-060		10.59		114		0.7		4.30		0.51		2.89		1568
WASP-046		11.40		171		0.7		1.43		1.91		3.58		1947
WASP-036		11.29		160		0.7		1.54		2.36		3.55		2062
TrES-5		11.59		170		0.7		1.48		1.79		3.48		1767
Kepler-077		12.36		238		0.7		3.58		0.43		2.49		1485
Kepler-016		9.00		57		0.7		221.78		0.33		2.72		245
Kepler-015		12.22		223		0.7		4.94		0.70		2.39		1488
K2-018b		8.90		51		0.7		32.94		0.03		2.75		336
HATS-45		12.14		242		0.7		4.19		0.70		2.40		1807
HATS-10		11.51		181		0.7		3.31		0.53		2.68		1673
HAT-P-52		11.62		174		0.7		2.75		0.82		3.04		1447
HAT-P-42		10.63		111		0.7		4.64		1.04		2.81		1699
EPIC_228735255		11.00		134		0.7		6.57		1.02		3.09		1325
CoRoT-08		11.46		174		0.7		6.21		0.22		2.40		1097
WASP-133		11.18		119		0.6		2.18		1.16		3.02		2112
WASP-114		11.07		122		0.6		1.55		1.77		3.24		2413
WASP-071		9.32		51		0.6		2.90		2.24		3.31		2479
WASP-053		10.39		87		0.6		3.31		2.13		3.87		1252
WASP-038		8.00		31		0.6		6.87		2.69		4.07		1484
WASP-010		9.98		68		0.6		3.09		3.14		4.32		1150
Kepler-089d		10.93		107		0.6		22.34		0.33		2.15		1065
K2-034		10.19		86		0.6		3.00		1.65		3.36		1988
HATS-52		12.11		183		0.6		1.37		2.24		3.42		2231
HATS-18		12.29		217		0.6		0.84		1.98		3.36		2444
HATS-09		11.48		144		0.6		1.92		0.82		2.73		2161
HAT-P-50		10.50		92		0.6		3.12		1.35		3.05		2205
HAT-P-14		8.85		46		0.6		4.63		2.27		3.68		1932
CoRoT-25		12.85		289		0.6		4.86		0.37		2.11		1572
WASP-138		10.49		83		0.5		3.63		1.22		3.28		1896
WASP-130		9.46		47		0.5		11.55		1.23		3.70		989
WASP-037		11.09		106		0.5		3.58		1.80		3.55		1616
Kepler-068b		8.59		34		0.5		5.40		0.02		2.45		1491
K2-032d		9.82		61		0.5		31.72		0.03		2.18		645
HD_017156		6.76		13		0.5		21.22		3.26		4.31		1051
HATS-32		12.70		229		0.5		2.81		0.92		2.73		1707
HAT-P-53		12.10		170		0.5		1.96		1.48		3.10		2113
EPIC_246067459		12.03		146		0.5		3.21		0.86		2.58		1898
EPIC_211442297		11.72		130		0.5		20.27		0.84		2.87		807
CoRoT-32		12.19		172		0.5		6.72		0.15		2.48		1142
CoRoT-12		13.56		325		0.5		2.83		0.89		2.54		1677
CoRoT-11		11.25		102		0.5		2.99		2.34		3.40		2033
WASP-105		9.94		46		0.4		7.87		1.80		3.93		1007
WASP-099		8.09		20		0.4		5.75		2.78		4.09		1748
WASP-073		9.03		31		0.4		4.09		1.88		3.59		2119
WASP-066		10.45		61		0.4		4.09		2.32		3.44		2143
WASP-032		10.16		52		0.4		2.72		3.60		4.21		1857
WASP-018		8.13		23		0.4		0.94		10.52		5.24		2869
WASP-014		8.62		24		0.4		2.24		7.59		4.85		2212
OGLE-TR-113		13.00		218		0.4		1.43		1.23		3.29		1598
Kepler-435		12.29		141		0.4		8.60		0.84		1.71		2033
Kepler-093b		8.37		22		0.4		4.73		0.01		2.93		1348
Kepler-017		12.59		154		0.4		1.49		2.34		3.57		2037
K2-060		10.99		71		0.4		3.00		0.43		3.16		1574
K2-027b		10.70		70		0.4		6.77		0.10		2.76		1094
HATS-14		12.04		139		0.4		2.77		1.07		3.25		1516
HATS-04		11.61		112		0.4		2.52		1.32		3.50		1567
HAT-P-20		8.60		28		0.4		2.88		7.22		5.18		1147
HAT-P-16		9.55		42		0.4		2.78		4.19		4.34		1865
HAT-P-15		9.64		44		0.4		10.86		1.95		3.78		1069
CoRoT-04		12.29		156		0.4		9.20		0.73		2.65		1260
WASP-120		9.88		32		0.3		3.61		4.85		4.06		2231
WASP-106		10.16		35		0.3		9.29		1.93		3.75		1341
WASP-086		9.36		23		0.3		5.03		0.82		3.98		1647
WASP-061		11.01		64		0.3		3.86		2.06		3.58		1852
OGLE-TR-211		13.38		168		0.3		3.68		0.75		2.50		2005
OGLE-TR-111		14.14		258		0.3		4.01		0.55		2.64		1213
Kepler-428		13.23		150		0.3		3.53		1.27		3.34		1270
Kepler-117b		13.01		137		0.3		18.80		0.09		1.55		1176
Kepler-089e		10.93		47		0.3		54.32		0.11		2.12		792
Kepler-089c		10.93		52		0.3		10.42		0.05		2.15		1373
Kepler-080c		12.25		86		0.3		9.52		0.02		2.22		762
Kepler-080b		12.25		86		0.3		7.05		0.02		2.30		842
Kepler-036c		10.79		50		0.3		16.24		0.02		1.78		1207
Kepler-021		6.95		9		0.3		2.79		0.02		2.97		2409
Kepler-013		9.43		31		0.3		1.76		6.00		4.37		2595
Kepler-010b		9.50		33		0.3		0.84		0.01		2.87		2603
Kepler-004		10.80		44		0.3		3.21		0.07		2.66		1929
K2-110		9.61		26		0.3		13.86		0.05		3.24		759
K2-106c		10.34		45		0.3		13.34		0.02		2.34		939
K2-039		8.52		18		0.3		4.61		0.12		2.53		2013
HD_106315b		7.85		15		0.3		9.55		0.04		3.08		1352
HATS-22		10.94		51		0.3		4.72		2.74		4.36		1020
HAT-P-34		9.25		29		0.3		5.45		3.33		4.10		1759
