Name,Kmag,Depth (Em),Depth (Rf),Noise,Albedo,Eq Temp,Mass
-,-,ppm,ppm,ppm,-,K,M_jup
WASP-091,9.71,323.5,0.0,107.4,0.00,1360,1.34
WASP-126,9.60,304.9,0.0,102.1,0.00,1769,0.28
WASP-190,10.65,488.0,0.0,165.6,0.00,1803,1.00
HATS-30,10.79,515.1,0.0,176.6,0.00,1682,0.71
K2-107,11.21,610.8,0.0,214.3,0.00,2106,0.84
HAT-P-09,11.02,557.6,0.0,196.4,0.00,1832,0.78
WASP-055,10.40,418.0,0.0,147.6,0.00,1547,0.63
WASP-039,10.20,379.6,0.0,134.6,0.00,1387,0.28
WASP-113,10.31,396.3,0.0,141.6,0.00,1766,0.47
HAT-P-03,9.45,264.6,0.0,95.3,0.00,1393,0.59
WASP-058,10.29,388.8,0.0,140.3,0.00,1519,0.89
HATS-42,12.25,956.7,0.0,346.0,0.00,2201,1.88
Qatar-6,9.23,237.3,0.0,86.1,0.00,1197,0.67
HAT-P-35,11.03,542.8,0.0,197.3,0.00,1902,1.05
Qatar-3,11.22,583.4,0.0,215.3,0.00,1998,4.31
WASP-146,11.14,552.7,0.0,207.5,0.00,1828,1.11
HAT-P-27,10.11,343.9,0.0,129.2,0.00,1439,0.66
Kepler-412,12.84,1190.1,0.0,454.0,0.00,2175,0.94
HD_001397,5.99,49.7,0.0,19.4,0.00,1460,0.42
HATS-68,10.95,480.8,0.0,190.2,0.00,2138,1.29
WASP-138,10.49,387.4,0.0,153.9,0.00,1896,1.22
WASP-124,11.31,561.7,0.0,224.4,0.00,1654,0.60
WASP-128,10.94,470.1,0.0,189.3,0.00,1933,37.19
Qatar-5,10.96,470.6,0.0,191.0,0.00,1682,4.32
HAT-P-28,11.10,495.6,0.0,203.8,0.00,1642,0.63
WASP-174,10.58,387.1,0.0,160.4,0.00,1777,0.00
HATS-12,11.39,559.4,0.0,232.9,0.00,2495,2.39
HATS-39,11.52,593.3,0.0,247.2,0.00,1958,0.63
WASP-037,11.09,475.5,0.0,202.8,0.00,1615,1.80
HATS-21,10.53,361.2,0.0,156.7,0.00,1526,0.33
WASP-060,10.59,367.2,0.0,161.1,0.00,1760,0.56
WASP-023,10.45,344.1,0.0,151.0,0.00,1344,0.92
WASP-141,11.19,483.2,0.0,212.4,0.00,1875,2.69
WASP-080,8.35,129.8,0.0,57.4,0.00,981,0.56
WASP-098,11.28,499.4,0.0,221.4,0.00,1393,0.92
Kepler-041,12.89,1044.3,0.0,464.6,0.00,2127,0.56
WASP-110,10.70,376.3,0.0,169.5,0.00,1360,0.51
HATS-19,11.51,545.7,0.0,246.1,0.00,1843,0.43
WASP-159,11.02,434.1,0.0,196.4,0.00,2155,0.55
HAT-P-48,10.26,305.8,0.0,138.4,0.00,1618,0.17
WASP-061,11.01,431.5,0.0,195.5,0.00,1851,2.06
HAT-P-31,10.08,280.7,0.0,127.4,0.00,1729,2.17
HATS-16,12.28,771.3,0.0,350.8,0.00,1892,3.27
WASP-057,11.24,474.6,0.0,217.3,0.00,1593,0.64
WASP-096,10.91,404.9,0.0,186.7,0.00,1518,0.48
HATS-58,10.29,304.1,0.0,140.3,0.00,1842,1.03
HATS-11,12.24,746.3,0.0,344.4,0.00,1944,0.83
WASP-047b,10.19,286.5,0.0,134.0,0.00,1508,1.14
HATS-60,10.99,409.3,0.0,193.7,0.00,1819,0.65
WASP-161,9.84,240.6,0.0,114.1,0.00,1853,2.49
WASP-165,11.02,414.0,0.0,196.4,0.00,1878,0.66
HATS-15,12.72,905.5,0.0,429.6,0.00,1776,2.17
HAT-P-37,11.67,557.3,0.0,264.9,0.00,1517,1.17
Kepler-012,12.07,668.0,0.0,318.5,0.00,1767,0.43
KELT-06,9.08,167.5,0.0,80.4,0.00,1561,0.43
WASP-044,11.34,472.5,0.0,227.6,0.00,1552,0.87
HATS-40,12.15,685.5,0.0,330.4,0.00,2491,1.59
WASP-112,11.90,600.7,0.0,294.5,0.00,1648,0.88
HATS-64,11.71,544.8,0.0,269.8,0.00,2159,0.93
HAT-P-21,10.11,256.9,0.0,129.2,0.00,1516,4.06
HATS-27,11.55,496.7,0.0,250.7,0.00,1970,0.53
HAT-P-42,10.63,323.9,0.0,164.1,0.00,1699,1.04
WASP-045,10.29,276.5,0.0,140.3,0.00,1392,1.00
EPIC_248435473b,8.90,141.9,0.0,74.0,0.00,1732,-1.00
WASP-143,11.32,432.5,0.0,225.5,0.00,1538,0.72
WASP-010,9.98,231.0,0.0,121.6,0.00,1150,3.14
HAT-P-43,11.76,522.5,0.0,276.1,0.00,1615,0.66
