Name,Kmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
-,-,ppm,-,days,M_jup,-,K
WASP-106,10.16,37.6,0.284,9.29,1.93,40.53,1341
Kepler-138c,9.51,27.7,0.282,13.78,0.02,18.31,567
K2-110,9.61,28.7,0.280,13.86,0.05,24.39,759
Kepler-029b,13.66,183.9,0.278,10.34,0.01,3.94,1035
Kepler-026c,12.63,112.8,0.274,17.25,0.02,8.19,490
WASP-161,9.84,31.1,0.273,5.41,2.49,47.24,1853
WASP-086,9.36,24.9,0.272,5.03,0.82,50.95,1647
Kepler-089e,10.93,51.1,0.271,54.32,0.11,7.97,792
Kepler-004,10.80,48.0,0.270,3.21,0.07,13.73,1928
Kepler-289d,12.51,105.0,0.269,125.85,0.41,9.62,481
Kepler-080c,12.25,93.1,0.269,9.52,0.02,8.83,762
Kepler-080b,12.25,92.9,0.268,7.05,0.02,9.54,842
K2-099,9.72,28.6,0.265,18.25,0.97,14.45,1517
K2-038c,9.47,24.6,0.255,10.56,0.03,16.47,1115
WASP-141,11.19,53.9,0.254,3.31,2.69,45.54,1875
Kepler-011f,12.18,84.8,0.253,46.69,0.01,3.19,666
HD_080606,7.32,9.0,0.253,111.44,4.11,101.36,483
CoRoT-29,13.05,125.8,0.251,2.85,0.85,26.01,1449
Kepler-074,12.96,119.6,0.249,7.34,0.63,16.94,1303
HAT-P-02,7.60,10.1,0.248,5.63,8.74,152.98,1801
HATS-15,12.72,106.5,0.248,1.75,2.17,44.05,1776
Kepler-020c,10.87,44.4,0.242,10.85,0.04,13.45,1004
Kepler-424,12.47,91.9,0.240,3.31,1.03,32.23,1447
CoRoT-09,11.69,63.8,0.239,95.27,0.84,18.32,497
Kepler-029c,13.66,156.5,0.236,13.29,0.01,3.98,952
Kepler-044,12.88,106.6,0.230,3.25,1.00,20.86,1830
WASP-047c,10.19,30.9,0.230,0.79,0.02,21.19,2624
CoRoT-13,13.38,128.7,0.221,4.04,1.31,20.75,1704
Kepler-087c,12.98,106.8,0.220,191.23,0.02,1.66,527
Kepler-079c,12.61,88.9,0.218,27.40,0.02,4.18,934
Kepler-005,11.77,60.2,0.217,3.55,2.03,34.49,2013
K2-113,11.95,64.2,0.213,5.82,1.29,36.97,1377
HAT-P-21,10.11,26.9,0.208,4.12,4.06,96.04,1516
Kepler-010c,9.50,19.8,0.203,45.29,0.02,13.08,688
K2-180,10.68,34.0,0.203,8.87,0.04,22.31,889
HATS-12,11.39,46.4,0.199,3.14,2.39,30.93,2495
XO-3,8.79,14.0,0.198,3.19,11.83,188.27,2056
Qatar-5,10.96,37.4,0.196,2.88,4.32,87.38,1682
HATS-16,12.28,68.0,0.194,2.69,3.27,47.96,1892
CoRoT-24c,12.92,90.2,0.192,11.76,0.09,11.27,841
WASP-158,10.88,35.2,0.191,3.66,2.79,60.40,1888
HD_119130,8.41,11.2,0.190,16.98,0.08,34.56,946
K2-098,10.87,33.9,0.185,10.14,0.10,17.34,1309
Qatar-4,11.52,44.9,0.182,1.80,6.10,117.37,1647
Kepler-079e,12.61,73.3,0.180,81.07,0.01,3.31,650
K2-106b,10.34,25.0,0.174,0.57,0.02,32.43,2652
Kepler-101b,12.01,53.3,0.172,3.49,0.16,15.05,1864
Kepler-011d,12.18,57.4,0.171,22.69,0.02,7.40,836
Kepler-056b,10.23,23.2,0.170,10.50,0.07,5.07,1780
CoRoT-18,13.01,82.8,0.169,1.90,3.30,62.28,1727
Kepler-011b,12.18,56.4,0.168,10.30,0.01,5.77,1105
K2-108,10.56,25.9,0.163,4.73,0.19,20.89,1735
