# TIC     |   RA      |   Dec     | EclipticLong | EclipticLat | Sector | Camera | Ccd | ColPix | RowPix
000000571 | 162.644667 | -60.042806 | 203.572282 | -58.666010 | 11 | 3 | 2 | 1986.612 | 1159.571
000000572 | 167.328042 | -60.904750 | 207.758785 | -57.579011 | 10 | 3 | 1 | 1313.937 |  702.123
000000572 | 167.328042 | -60.904750 | 207.758785 | -57.579011 | 11 | 3 | 2 | 1669.704 |  861.553
000000573 | 160.059958 | -61.544389 | 204.127660 | -60.606509 | 10 | 3 | 1 | 1698.279 | 1192.689
000000573 | 160.059958 | -61.544389 | 204.127660 | -60.606509 | 11 | 3 | 2 | 1814.835 | 1468.799
000000574 | 166.979917 | -60.853722 | 207.471625 | -57.666531 | 10 | 3 | 1 | 1342.788 |  713.991
000000574 | 166.979917 | -60.853722 | 207.471625 | -57.666531 | 11 | 3 | 2 | 1691.595 |  883.660
000000575 | 203.608875 | -65.418889 | 233.468747 | -50.179192 | 11 | 2 | 2 |  822.391 |  646.453
000000597 | 353.562750 | -41.938583 | 335.142825 | -35.450601 |  2 | 2 | 4 | 1147.423 | 1034.338
000000598 | 359.348917 | -40.722917 | 340.558730 | -36.522168 |  2 | 2 | 4 |  377.015 | 1178.331
000000599 | 348.157292 | -21.326083 | 340.651662 | -14.928446 |  2 | 1 | 4 |  424.748 | 1580.701
000000600 | 311.042583 | -38.774750 | 302.985162 | -19.917517 |  1 | 1 | 1 |   55.342 | 1694.092
000000601 | 359.900292 | -34.968639 | 344.363603 | -31.685822 |  2 | 2 | 3 | 2009.921 |  321.760
000000607 | 208.927958 | -31.840389 | 218.280486 | -18.696220 | 11 | 1 | 1 |  918.007 | 1957.505
000000609 | 239.962292 | -27.938250 | 243.524113 |  -7.216155 | 12 | 1 | 4 | 1741.940 |  231.861
000000610 |  24.354292 | -44.322111 | 359.357516 | -49.322536 |  2 | 2 | 2 | 1808.903 |  636.441
000000610 |  24.354292 | -44.322111 | 359.357516 | -49.322536 |  3 | 2 | 1 |  842.937 |  728.400
000000611 | 148.417000 | -44.340833 | 173.848471 | -52.208782 |  9 | 2 | 2 |  154.363 |  328.324
