Name		Bmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-121 b		21.52		1173		0.0866		1.27		1.18		2.18		2805
CoRoT-28 b		14.99		57		0.0852		5.21		0.48		2.62		1622
Kepler-1171 b		11.85		13		0.085		1.44		0.02		2.32		3307
CoRoT-26 b		16.84		125		0.0802		4.20		0.48		2.06		1873
CoRoT-29 b		16.70		116		0.079		2.85		0.85		3.30		1450
CoRoT-25 b		15.81		76		0.0782		4.86		0.27		1.79		1572
CoRoT-27 b		16.50		101		0.0757		3.58		10.39		5.58		1628
GJ 3470 b		13.50		24		0.0716		3.34		0.04		2.10		776
Kepler-40 b		14.90		45		0.0715		6.87		2.18		3.72		1919
CoRoT-6 b		14.64		40		0.0715		8.89		2.95		4.03		1210
CoRoT-7 b		12.52		15		0.0712		0.85		0.01		2.86		2152
CoRoT-13 b		15.78		65		0.0682		4.04		1.31		3.77		1516
Kepler-21 b		8.77		2		0.0668		2.79		0.01		2.69		2320
WASP-59 b		13.92		27		0.066		7.92		0.86		3.61		791
CoRoT-17 b		16.96		98		0.0593		3.77		2.46		4.12		1847
Kepler-427 b		15.13		39		0.0554		10.29		0.29		1.60		1279
CoRoT-16 b		16.68		78		0.0537		5.35		0.54		2.32		1422
HD 97658 b		8.54		1		0.0436		9.49		0.02		2.69		872
Kepler-63 b		12.36		8		0.043		9.43		0.13		2.39		1030
GJ 1214 b		16.83		60		0.0389		1.58		0.02		2.22		666
CoRoT-23 b		18.29		102		0.0337		3.63		3.09		4.28		1953
Kepler-25 c		11.32		3		0.0298		12.72		0.09		2.38		1224
Kepler-68 b		10.73		2		0.0258		5.40		0.03		2.77		1490
K2-25 b		15.81		22		0.0234		3.48		0.04		2.29		573
Kepler-25 b		11.32		2		0.0209		6.24		0.02		2.29		1553
HD 80606 b		9.83		1		0.0186		111.44		3.89		4.56		473
CoRoT-20 b		15.96		18		0.0181		9.24		4.24		5.05		1134
CoRoT-8 b		16.10		17		0.0158		6.21		0.22		2.85		1016
Kepler-93 b		10.73		1		0.0146		4.73		0.01		2.47		1349
Kepler-50 c		11.02		1		0.0144		9.38		0.02		2.29		1560
GJ 1132 b		15.22		9		0.0131		1.63		0.01		2.52		688
CoRoT-10 b		16.68		18		0.0127		13.24		2.76		4.33		797
Kepler-50 b		11.02		1		0.0114		7.81		0.02		2.41		1658
Kepler-42 c		17.96		27		0.0103		0.45		0.00		1.77		949
Kepler-411 c		13.70		3		0.00957		7.83		0.03		2.28		941
Kepler-20 b		13.41		3		0.0095		3.70		0.03		3.17		1430
CoRoT-22 b		14.74		5		0.00854		9.76		0.04		1.61		1196
Kepler-117 b		14.93		5		0.0085		18.80		0.19		2.34		1154
Kepler-109 b		12.82		2		0.00833		6.48		0.02		2.36		1494
Kepler-96 b		11.25		0		0.00658		16.24		0.03		2.48		930
Kepler-36 c		12.66		1		0.00622		16.24		0.03		1.82		1206
Kepler-20 c		13.41		1		0.00584		10.85		0.05		2.84		999
Kepler-516 b		12.94		1		0.00573		24.85		0.11		2.39		1308
Kepler-135 b		12.82		1		0.00553		6.00		0.01		2.58		1551
Kepler-454 b		12.38		1		0.00529		10.57		0.02		2.54		1095
