Name		Hmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
HAT-P-40		10.01		176		1.4		4.46		0.61		1.67		2101
HAT-P-03		9.45		132		1.4		2.90		0.58		2.83		1415
XO-4		9.41		125		1.3		4.12		1.61		3.18		1953
XO-1		9.53		129		1.3		3.94		0.92		2.80		1440
WASP-136		8.81		95		1.3		5.21		1.51		3.02		2073
WASP-133		11.18		268		1.3		2.18		1.16		3.02		2112
WASP-118		9.79		142		1.3		4.05		0.52		1.94		2086
WASP-090		10.25		183		1.3		3.92		0.63		1.82		2192
K2-141b		8.40		77		1.3		0.28		0.02		3.13		2573
K2-034		10.19		172		1.3		3.00		1.65		3.36		1988
HATS-26		11.44		298		1.3		3.30		0.65		1.71		2286
HATS-09		11.48		323		1.3		1.92		0.82		2.73		2161
HAT-P-05		10.48		205		1.3		2.79		1.06		2.86		1805
WASP-073		9.03		96		1.2		4.09		1.88		3.59		2119
WASP-070		9.58		125		1.2		3.71		0.59		2.42		1636
WASP-068		8.95		87		1.2		5.08		0.95		2.77		1769
WASP-011		9.42		111		1.2		3.72		0.49		2.57		1181
NGTS-1		11.94		363		1.2		2.65		0.81		2.48		942
HATS-01		10.58		187		1.2		3.45		1.85		3.35		1628
HAT-P-53		12.10		380		1.2		1.96		1.48		3.10		2113
HAT-P-14		8.85		86		1.2		4.63		2.27		3.68		1932
WASP-153		11.05		227		1.1		3.33		0.39		1.44		2036
WASP-102		11.11		215		1.1		2.71		0.62		2.32		1963
WASP-088		10.32		152		1.1		4.95		0.56		1.61		2097
WASP-039		10.20		149		1.1		4.05		0.28		1.50		1344
WASP-025		10.17		146		1.1		3.77		0.60		2.30		1441
WASP-023		10.45		172		1.1		2.94		0.92		3.04		1344
WASP-020		9.39		99		1.1		4.90		0.38		1.79		1501
HATS-51		10.87		201		1.1		3.35		0.77		2.30		1840
HAT-P-66		11.68		289		1.1		2.97		0.78		2.08		2260
HAT-P-50		10.50		176		1.1		3.12		1.35		3.05		2205
HAT-P-47		9.40		99		1.1		4.73		0.21		1.13		1908
HAT-P-27		10.11		144		1.1		3.04		0.66		2.77		1439
CoRoT-11		11.25		229		1.1		2.99		2.34		3.40		2033
WASP-126		9.60		99		1.0		3.29		0.28		2.06		1769
WASP-099		8.09		51		1.0		5.75		2.78		4.09		1748
WASP-053		10.39		149		1.0		3.31		2.13		3.87		1252
WASP-028		10.73		166		1.0		3.41		0.89		2.74		1727
WASP-021		9.98		118		1.0		4.32		0.28		1.67		1621
OGLE-TR-113		13.00		503		1.0		1.43		1.23		3.29		1598
HATS-31		11.57		256		1.0		3.38		0.88		2.14		2170
HATS-03		10.69		177		1.0		3.55		1.07		2.68		1960
HAT-P-39		11.16		207		1.0		3.54		0.60		1.84		2055
HAT-P-24		10.54		156		1.0		3.35		0.68		2.44		1930
HAT-P-12		10.11		130		1.0		3.21		0.21		1.83		1142
GJ_1214		8.78		70		1.0		1.58		0.02		2.07		679
WASP-113		10.31		125		0.9		4.54		0.47		1.83		1766
WASP-110		10.70		160		0.9		3.78		0.51		2.16		1360
WASP-107		8.64		60		0.9		5.72		0.12		1.29		876
WASP-098		11.28		201		0.9		2.96		0.92		2.91		1393
WASP-066		10.45		141		0.9		4.09		2.32		3.44		2143
WASP-058		10.29		130		0.9		5.02		0.89		2.51		1519
WASP-045		10.29		130		0.9		3.13		1.00		3.27		1392
WASP-038		8.00		46		0.9		6.87		2.69		4.07		1484
WASP-029		8.78		63		0.9		3.92		0.24		2.35		1176
WASP-022		10.32		131		0.9		3.53		0.62		2.41		1788
Qatar-3		11.22		183		0.9		2.51		4.31		4.53		1999
K2-107		11.21		196		0.9		3.31		0.84		2.35		2106
HATS-30		10.79		158		0.9		3.17		0.71		2.59		1683
HAT-P-46		9.93		108		0.9		4.46		0.49		2.05		1727
CoRoT-18		13.01		417		0.9		1.90		3.27		3.99		1774
WASP-096		10.91		153		0.8		3.43		0.48		2.16		1519
WASP-067		10.13		99		0.8		4.61		0.41		2.18		1244
WASP-057		11.24		169		0.8		2.84		0.64		2.72		1593
WASP-055		10.40		124		0.8		4.47		0.63		2.21		1547
WASP-047b		10.19		105		0.8		4.16		1.14		3.16		1508
WASP-044		11.34		184		0.8		2.42		0.87		3.11		1552
Qatar-5		10.96		157		0.8		2.88		4.32		4.52		1683
Kepler-041		12.89		377		0.8		1.86		0.56		2.17		2127
HATS-21		10.53		125		0.8		3.55		0.33		1.92		1526
HATS-16		12.28		263		0.8		2.69		3.27		3.92		1892
HATS-15		12.72		362		0.8		1.75		2.17		3.83		1776
HATS-12		11.39		181		0.8		3.14		2.39		3.48		2495
HATS-06		11.22		165		0.8		3.33		0.32		2.12		858
HAT-P-54		10.33		114		0.8		3.80		0.76		3.10		975
HAT-P-37		11.67		210		0.8		2.80		1.17		3.08		1517
HAT-P-35		11.03		156		0.8		3.65		1.05		2.73		1902
HAT-P-34		9.25		68		0.8		5.45		3.33		4.10		1759
HAT-P-28		11.10		170		0.8		3.26		0.63		2.40		1642
HAT-P-25		10.81		142		0.8		3.65		0.57		2.34		1431
HAT-P-19		10.55		128		0.8		4.01		0.29		1.78		1201
HAT-P-09		11.02		148		0.8		3.92		0.78		2.36		1832
XO-5		10.35		107		0.7		4.19		1.19		3.16		1442
WASP-141		11.19		145		0.7		3.31		2.69		3.86		1875
WASP-138		10.49		106		0.7		3.63		1.22		3.28		1896
WASP-124		11.31		166		0.7		3.37		0.60		2.31		1654
WASP-112		11.90		212		0.7		3.04		0.88		2.78		1648
WASP-089		11.00		129		0.7		3.36		5.90		4.95		1290
WASP-042		10.03		87		0.7		4.98		0.53		2.38		1216
WASP-037		11.09		147		0.7		3.58		1.80		3.55		1616
OGLE-TR-L9		13.12		355		0.7		2.49		4.40		3.76		2420
HATS-19		11.51		173		0.7		4.57		0.43		1.39		1843
HATS-11		12.24		226		0.7		3.62		0.83		2.28		1944
HATS-04		11.61		173		0.7		2.52		1.32		3.50		1567
HAT-P-48		10.26		94		0.7		4.41		0.17		1.23		1619
HAT-P-43		11.76		182		0.7		3.33		0.66		2.35		1616
HAT-P-42		10.63		108		0.7		4.64		1.04		2.81		1699
HAT-P-21		10.11		93		0.7		4.12		4.06		4.61		1516
WASP-061		11.01		119		0.6		3.86		2.06		3.58		1852
WASP-056		10.53		87		0.6		4.17		0.57		2.52		1450
Kepler-012		12.07		206		0.6		4.44		0.43		1.34		1767
Kepler-007		11.54		148		0.6		4.88		0.45		1.46		1927
Kepler-006		11.63		151		0.6		3.23		0.63		2.49		1726
KELT-06		9.08		49		0.6		7.85		0.43		2.06		1561
K2-030		11.09		125		0.6		4.10		0.62		2.43		1391
HATS-44		12.17		186		0.6		2.74		0.56		2.55		1404
HATS-29		10.88		113		0.6		4.61		0.65		2.38		1440
HATS-28		12.09		182		0.6		3.18		0.67		2.50		1490
HATS-25		11.42		130		0.6		4.30		0.61		2.30		1518
HATS-13		11.98		194		0.6		3.04		0.54		2.26		1481
HAT-P-55		11.63		143		0.6		3.58		0.58		2.38		1561
HAT-P-52		11.62		162		0.6		2.75		0.82		3.04		1447
HAT-P-51		11.61		142		0.6		4.22		0.31		1.57		1416
HAT-P-44		11.28		131		0.6		4.30		0.35		1.78		1314
HAT-P-31		10.08		82		0.6		5.00		2.17		3.90		1730
EPIC_246067459		12.03		174		0.6		3.21		0.86		2.58		1898
WASP-157		10.76		88		0.5		3.95		0.57		2.57		1551
WASP-151		11.19		101		0.5		4.53		0.36		1.89		1560
WASP-084		8.86		34		0.5		8.52		0.69		2.93		953
WASP-083		10.39		67		0.5		4.97		0.30		1.97		1326
WASP-030		10.20		64		0.5		4.16		62.50		7.49		1779
Kepler-423		12.78		241		0.5		2.68		0.59		2.39		1642
Kepler-045		12.89		249		0.5		2.46		0.50		2.56		936
Kepler-008		12.29		177		0.5		3.52		0.59		2.08		1978
Kepler-005		11.77		129		0.5		3.55		2.03		3.59		2014
K2-096b		7.07		15		0.5		0.96		0.02		2.88		2077
HD_219134b		3.26		2		0.5		3.09		0.01		2.94		1207
HATS-53		12.05		173		0.5		3.85		0.59		2.15		1558
HATS-43		11.56		124		0.5		4.39		0.26		1.58		1185
HATS-32		12.70		210		0.5		2.81		0.92		2.73		1707
HATS-27		11.55		131		0.5		4.64		0.53		1.81		1971
HATS-14		12.04		161		0.5		2.77		1.07		3.25		1516
HAT-P-18		10.23		62		0.5		5.51		0.20		1.73		1000
HAT-P-17		8.54		28		0.5		10.34		0.53		2.61		927
GJ_1132		8.32		29		0.5		1.63		0.01		1.43		765
WASP-117		8.78		25		0.4		10.02		0.28		1.92		1218
WASP-060		10.59		57		0.4		4.30		0.51		2.89		1568
Kepler-043		12.55		140		0.4		3.02		3.09		4.17		1906
HATS-45		12.14		118		0.4		4.19		0.70		2.40		1807
HATS-22		10.94		78		0.4		4.72		2.74		4.36		1020
HATS-10		11.51		101		0.4		3.31		0.53		2.68		1673
HATS-05		10.70		61		0.4		4.76		0.24		2.00		1220
HAT-P-38		10.50		54		0.4		4.64		0.27		2.32		1284
HAT-P-29		10.30		60		0.4		5.72		0.78		2.80		1496
HAT-P-11		7.01		12		0.4		4.89		0.08		2.63		997
GJ_9827b		7.19		13		0.4		1.21		0.03		3.31		1383
GJ_3470		7.99		20		0.4		3.34		0.04		2.24		769
EPIC_228735255		11.00		74		0.4		6.57		1.02		3.09		1325
CoRoT-23		12.36		131		0.4		3.63		3.06		4.04		2036
CoRoT-19		11.84		117		0.4		3.90		1.09		2.99		1938
CoRoT-14		13.81		313		0.4		1.51		7.67		5.26		2304
CoRoT-12		13.56		256		0.4		2.83		0.89		2.54		1677
WASP-156		9.34		27		0.3		3.84		0.13		2.55		1154
WASP-132		9.67		36		0.3		7.13		0.41		2.64		905
WASP-129		10.41		47		0.3		5.75		1.00		3.40		1281
WASP-105		9.94		35		0.3		7.87		1.80		3.93		1007
WASP-059		9.72		26		0.3		7.92		0.86		3.62		791
OGLE-TR-132		14.99		360		0.3		1.69		1.17		3.00		2368
LHS_6343		8.70		21		0.3		12.71		62.10		7.87		426
Kepler-435		12.29		96		0.3		8.60		0.84		1.71		2033
Kepler-426		13.21		151		0.3		3.22		0.34		2.00		1548
Kepler-077		12.36		99		0.3		3.58		0.43		2.49		1485
Kepler-044		12.88		130		0.3		3.25		1.00		3.08		1830
Kepler-015		12.22		106		0.3		4.94		0.70		2.39		1488
K2-060		10.99		50		0.3		3.00		0.43		3.16		1574
K2-039		8.52		17		0.3		4.61		0.12		2.53		2013
HD_017156		6.76		9		0.3		21.22		3.26		4.31		1051
HATS-50		12.29		109		0.3		3.82		0.39		2.07		1616
HATS-36		12.81		124		0.3		4.17		2.79		3.81		1621
HAT-P-26		9.58		30		0.3		4.24		0.06		1.57		1166
HAT-P-15		9.64		26		0.3		10.86		1.95		3.78		1069
EPIC_219388192		10.73		54		0.3		5.29		36.84		6.99		1385
CoRoT-05		12.55		121		0.3		4.04		0.47		2.16		1604
CoRoT-03		11.62		70		0.3		4.26		21.96		6.27		1963
WTS-1		15.27		219		0.2		3.35		4.01		3.85		1773
WASP-139		10.47		36		0.2		5.92		0.12		1.56		1092
WASP-130		9.46		16		0.2		11.55		1.23		3.70		989
WASP-106		10.16		30		0.2		9.29		1.93		3.75		1341
WASP-086		9.36		22		0.2		5.03		0.82		3.98		1647
OGLE-TR-211		13.38		133		0.2		3.68		0.75		2.50		2005
OGLE-TR-182		14.74		174		0.2		3.98		1.06		2.54		1842
Kepler-433		12.83		99		0.2		5.33		2.82		3.55		2098
Kepler-428		13.23		135		0.2		3.53		1.27		3.34		1270
Kepler-425		12.81		96		0.2		3.80		0.25		1.91		1277
Kepler-014		10.99		46		0.2		6.79		7.68		5.06		1910
K2-113		11.95		57		0.2		5.82		1.29		3.66		1377
K2-106b		10.34		22		0.2		0.57		0.02		3.52		2652
HD_219134c		3.26		0		0.2		6.76		0.01		2.97		930
HATS-46		11.97		61		0.2		4.74		0.17		1.71		1256
HATS-20		11.86		61		0.2		3.80		0.27		2.46		1363
HATS-08		12.66		76		0.2		3.58		0.14		1.55		1571
HATS-07		10.98		42		0.2		3.19		0.12		2.28		1289
CoRoT-27		12.98		97		0.2		3.58		10.39		5.58		1612
CoRoT-26		13.26		125		0.2		4.21		0.52		2.14		1870
CoRoT-25		12.85		76		0.2		4.86		0.37		2.11		1572
CoRoT-17		12.47		95		0.2		3.77		2.46		4.14		1911
CoRoT-15		13.39		113		0.2		3.06		64.90		7.34		1985
CoRoT-13		13.38		131		0.2		4.04		1.31		3.08		1704
TRAPPIST-1c		10.30		8		0.1		2.42		0.01		2.62		399
TRAPPIST-1b		10.30		16		0.1		1.51		0.00		1.86		467
OGLE-TR-111		14.14		102		0.1		4.01		0.55		2.64		1213
Kepler-427		12.78		39		0.1		10.29		0.29		1.60		1281
Kepler-101b		12.01		25		0.1		3.49		0.16		2.76		1865
Kepler-075		13.12		35		0.1		8.88		10.10		5.47		984
Kepler-074		12.96		32		0.1		7.34		0.63		2.88		1303
Kepler-040		13.27		70		0.1		6.87		2.16		3.30		2076
Kepler-021		6.95		2		0.1		2.79		0.02		2.97		2409
Kepler-010b		9.50		13		0.1		0.84		0.01		2.87		2603
Kepler-004		10.80		14		0.1		3.21		0.07		2.66		1929
K2-108		10.56		14		0.1		4.73		0.19		3.08		1735
K2-032b		9.82		7		0.1		8.99		0.05		1.86		981
HD_097658		5.73		1		0.1		9.49		0.02		2.73		902
GJ_9827d		7.19		2		0.1		6.20		0.01		2.18		798
GJ_9827c		7.19		1		0.1		3.65		0.01		2.64		954
EPIC_211442297		11.72		14		0.1		20.27		0.84		2.87		807
EPIC_211418729		12.30		22		0.1		11.39		1.85		3.99		858
CoRoT-20		12.51		36		0.1		9.24		5.06		4.58		1307
CoRoT-10		11.78		17		0.1		13.24		2.78		4.40		771
CoRoT-08		11.46		27		0.1		6.21		0.22		2.40		1097
CoRoT-07		9.81		15		0.1		0.85		0.02		3.16		2094
CoRoT-06		12.12		41		0.1		8.89		2.96		4.00		1220
CoRoT-04		12.29		35		0.1		9.20		0.73		2.65		1260
TRAPPIST-1h		10.30		0		0.0		18.77		0.00		0.48		202
TRAPPIST-1g		10.30		1		0.0		12.36		0.00		1.48		232
TRAPPIST-1f		10.30		1		0.0		9.21		0.00		1.17		256
TRAPPIST-1e		10.30		1		0.0		6.10		0.00		1.14		293
TRAPPIST-1d		10.30		2		0.0		4.05		0.00		1.66		336
LHS_1140		8.82		0		0.0		24.74		0.02		3.50		262
KOI-205		12.66		14		0.0		11.72		40.80		7.36		909
Kepler-539		10.91		0		0.0		125.63		0.97		3.81		461
Kepler-434		13.04		21		0.0		12.88		2.86		4.06		1190
Kepler-432		10.12		3		0.0		50.50		5.41		4.67		1057
Kepler-420		12.73		1		0.0		86.65		1.45		3.75		545
Kepler-117c		13.01		3		0.0		50.79		1.84		3.67		844
Kepler-117b		13.01		5		0.0		18.80		0.09		1.55		1176
Kepler-093b		8.37		1		0.0		4.73		0.01		2.93		1348
Kepler-089e		10.93		0		0.0		54.32		0.11		2.12		792
Kepler-089d		10.93		7		0.0		22.34		0.33		2.15		1065
Kepler-089c		10.93		3		0.0		10.42		0.05		2.15		1373
Kepler-089b		10.93		1		0.0		3.74		0.03		3.60		1932
Kepler-087c		12.98		0		0.0		191.23		0.02		0.55		527
