Name		Vmag		Eclipse depth (ppm)		SNR		Period		Mass		logg		Eq Temp
WASP-057		13.04		169		0.3		2.84		0.64		2.72		1593
WASP-047b		11.93		105		0.3		4.16		1.14		3.16		1508
WASP-045		11.98		130		0.3		3.13		1.00		3.27		1392
WASP-044		12.88		184		0.3		2.42		0.87		3.11		1552
WASP-037		12.72		147		0.3		3.58		1.80		3.55		1616
WASP-023		12.68		172		0.3		2.94		0.92		3.04		1344
WASP-011		11.89		111		0.3		3.72		0.49		2.57		1181
Qatar-5		12.82		157		0.3		2.88		4.32		4.52		1683
Qatar-3		12.88		183		0.3		2.51		4.31		4.53		1999
OGLE-TR-L9		14.50		355		0.3		2.49		4.40		3.76		2420
OGLE-TR-113		15.00		503		0.3		1.43		1.23		3.29		1598
OGLE-TR-056		16.60		1090		0.3		1.21		1.41		2.50		2953
Kepler-041		14.47		377		0.3		1.86		0.56		2.17		2127
Kepler-012		13.53		206		0.3		4.44		0.43		1.34		1767
KELT-06		10.42		49		0.3		7.85		0.43		2.06		1561
K2-141b		11.49		77		0.3		0.28		0.02		3.13		2573
K2-107		12.92		196		0.3		3.31		0.84		2.35		2106
K2-029		12.56		173		0.3		3.26		0.73		2.59		1388
HATS-21		12.19		125		0.3		3.55		0.33		1.92		1526
HATS-19		13.03		173		0.3		4.57		0.43		1.39		1843
HATS-16		13.83		263		0.3		2.69		3.27		3.92		1892
HATS-15		14.77		362		0.3		1.75		2.17		3.83		1776
HATS-12		12.76		181		0.3		3.14		2.39		3.48		2495
HAT-P-46		11.94		108		0.3		4.46		0.49		2.05		1727
HAT-P-43		13.36		182		0.3		3.33		0.66		2.35		1616
HAT-P-42		12.17		108		0.3		4.64		1.04		2.81		1699
HAT-P-37		13.23		210		0.3		2.80		1.17		3.08		1517
HAT-P-35		12.46		156		0.3		3.65		1.05		2.73		1902
HAT-P-28		13.03		170		0.3		3.26		0.63		2.40		1642
HAT-P-27		12.16		144		0.3		3.04		0.66		2.77		1439
HAT-P-21		11.69		93		0.3		4.12		4.06		4.61		1516
HAT-P-09		12.30		148		0.3		3.92		0.78		2.36		1832
CoRoT-18		15.00		417		0.3		1.90		3.27		3.99		1774
WASP-157		12.91		88		0.2		3.95		0.57		2.57		1551
WASP-151		12.87		101		0.2		4.53		0.36		1.89		1560
WASP-117		10.15		25		0.2		10.02		0.28		1.92		1218
WASP-107		11.59		60		0.2		5.72		0.12		1.29		876
WASP-089		13.09		129		0.2		3.36		5.90		4.95		1290
WASP-084		10.83		34		0.2		8.52		0.69		2.93		953
WASP-067		12.54		99		0.2		4.61		0.41		2.18		1244
WASP-061		12.50		119		0.2		3.86		2.06		3.58		1852
WASP-056		12.17		87		0.2		4.17		0.57		2.52		1450
WASP-042		12.57		87		0.2		4.98		0.53		2.38		1216
WASP-030		11.46		64		0.2		4.16		62.50		7.49		1779
WASP-029		11.21		63		0.2		3.92		0.24		2.35		1176
NGTS-1		15.52		363		0.2		2.65		0.81		2.48		942
Kepler-423		14.42		241		0.2		2.68		0.59		2.39		1642
Kepler-008		13.65		177		0.2		3.52		0.59		2.08		1978
Kepler-007		12.99		148		0.2		4.88		0.45		1.46		1927
Kepler-006		13.46		151		0.2		3.23		0.63		2.49		1726
Kepler-005		13.54		129		0.2		3.55		2.03		3.59		2014
K2-096b		8.94		15		0.2		0.96		0.02		2.88		2077
K2-030		13.53		125		0.2		4.10		0.62		2.43		1391
HATS-53		14.14		173		0.2		3.85		0.59		2.15		1558
HATS-45		13.31		118		0.2		4.19		0.70		2.40		1807
HATS-44		14.43		186		0.2		2.74		0.56		2.55		1404
HATS-43		13.59		124		0.2		4.39		0.26		1.58		1185
HATS-32		14.38		210		0.2		2.81		0.92		2.73		1707
HATS-29		12.61		113		0.2		4.61		0.65		2.38		1440
HATS-28		13.93		182		0.2		3.18		0.67		2.50		1490
HATS-27		12.77		131		0.2		4.64		0.53		1.81		1971
HATS-25		13.10		130		0.2		4.30		0.61		2.30		1518
HATS-14		13.79		161		0.2		2.77		1.07		3.25		1516
HATS-13		13.89		194		0.2		3.04		0.54		2.26		1481
HATS-11		14.02		226		0.2		3.62		0.83		2.28		1944
HATS-10		13.11		101		0.2		3.31		0.53		2.68		1673
HATS-04		13.46		173		0.2		2.52		1.32		3.50		1567
HAT-P-55		13.21		143		0.2		3.58		0.58		2.38		1561
HAT-P-52		14.07		162		0.2		2.75		0.82		3.04		1447
HAT-P-51		13.44		142		0.2		4.22		0.31		1.57		1416
HAT-P-48		12.16		94		0.2		4.41		0.17		1.23		1619
HAT-P-44		13.21		131		0.2		4.30		0.35		1.78		1314
HAT-P-31		11.66		82		0.2		5.00		2.17		3.90		1730
HAT-P-29		11.90		60		0.2		5.72		0.78		2.80		1496
HAT-P-25		13.19		142		0.2		3.65		0.57		2.34		1431
HAT-P-19		12.90		128		0.2		4.01		0.29		1.78		1201
HAT-P-12		12.80		130		0.2		3.21		0.21		1.83		1142
EPIC_246067459		13.75		174		0.2		3.21		0.86		2.58		1898
WTS-1		16.13		219		0.1		3.35		4.01		3.85		1773
WASP-156		11.57		27		0.1		3.84		0.13		2.55		1154
WASP-139		12.39		36		0.1		5.92		0.12		1.56		1092
WASP-132		12.40		36		0.1		7.13		0.41		2.64		905
WASP-130		11.11		16		0.1		11.55		1.23		3.70		989
WASP-129		12.12		47		0.1		5.75		1.00		3.40		1281
WASP-106		11.21		30		0.1		9.29		1.93		3.75		1341
WASP-105		12.06		35		0.1		7.87		1.80		3.93		1007
WASP-086		10.66		22		0.1		5.03		0.82		3.98		1647
WASP-083		12.87		67		0.1		4.97		0.30		1.97		1326
WASP-060		12.18		57		0.1		4.30		0.51		2.89		1568
OGLE-TR-211		15.00		133		0.1		3.68		0.75		2.50		2005
OGLE-TR-132		16.00		360		0.1		1.69		1.17		3.00		2368
OGLE-TR-010		15.80		316		0.1		3.10		0.68		1.79		2021
Kepler-435		13.77		96		0.1		8.60		0.84		1.71		2033
Kepler-433		14.62		99		0.1		5.33		2.82		3.55		2098
Kepler-428		15.47		135		0.1		3.53		1.27		3.34		1270
Kepler-426		14.99		151		0.1		3.22		0.34		2.00		1548
Kepler-425		14.95		96		0.1		3.80		0.25		1.91		1277
Kepler-077		14.10		99		0.1		3.58		0.43		2.49		1485
Kepler-045		16.63		249		0.1		2.46		0.50		2.56		936
Kepler-044		14.89		130		0.1		3.25		1.00		3.08		1830
Kepler-043		14.07		140		0.1		3.02		3.09		4.17		1906
Kepler-040		14.59		70		0.1		6.87		2.16		3.30		2076
Kepler-015		13.91		106		0.1		4.94		0.70		2.39		1488
Kepler-014		12.18		46		0.1		6.79		7.68		5.06		1910
Kepler-010b		11.10		13		0.1		0.84		0.01		2.87		2603
K2-113		13.68		57		0.1		5.82		1.29		3.66		1377
K2-106b		12.10		22		0.1		0.57		0.02		3.52		2652
K2-060		12.79		50		0.1		3.00		0.43		3.16		1574
K2-039		10.83		17		0.1		4.61		0.12		2.53		2013
HD_219134b		5.57		2		0.1		3.09		0.01		2.94		1207
HD_017156		8.17		9		0.1		21.22		3.26		4.31		1051
HATS-50		14.03		109		0.1		3.82		0.39		2.07		1616
HATS-46		13.63		61		0.1		4.74		0.17		1.71		1256
HATS-36		14.39		124		0.1		4.17		2.79		3.81		1621
HATS-22		13.46		78		0.1		4.72		2.74		4.36		1020
HATS-20		13.77		61		0.1		3.80		0.27		2.46		1363
HATS-08		14.03		76		0.1		3.58		0.14		1.55		1571
HATS-07		13.34		42		0.1		3.19		0.12		2.28		1289
HATS-06		15.16		165		0.1		3.33		0.32		2.12		858
HATS-05		12.63		61		0.1		4.76		0.24		2.00		1220
HAT-P-54		13.51		114		0.1		3.80		0.76		3.10		975
HAT-P-38		12.56		54		0.1		4.64		0.27		2.32		1284
HAT-P-26		11.74		30		0.1		4.24		0.06		1.57		1166
HAT-P-18		12.76		62		0.1		5.51		0.20		1.73		1000
HAT-P-17		10.54		28		0.1		10.34		0.53		2.61		927
